visit,time_s,channel,arm,anchors,R,phase_deg,pilot_supported,held_pairs,failure,wrong_time_R
2161,274.8649408,3,0,"[0, 1]",0.07924794758772953,-164.77505981084903,False,27,,0.2324629634966051
2195,279.1832856,3,1,"[0, 1]",0.40335315917325204,-78.78858719042945,False,45,,0.23237819373874244
2226,283.138132,4,0,"[0, 1]",0.47129407295675185,5.394818843657703,False,24,,0.23825156892349456
2336,297.1140552,2,1,"[0, 1]",0.7190196735057366,-32.54219723429794,True,24,,0.14934372844733435
2356,299.6520424,2,1,"[0, 1]",0.7233059641325964,-46.182163034786214,True,45,,0.3323168740425224
261,33.272891200000004,2,1,"[0, 1]",0.24786168396612493,-157.73878268997547,False,24,,0.016991709042166635
1057,134.5426204,4,1,"[0, 1]",0.9671163038568554,7.74925093388581,True,45,,0.24758194910095238
1066,135.6873672,1,1,"[0, 1]",0.7530882387578602,155.95219341682846,True,45,,0.08462609520148814
1085,138.1099468,4,1,"[0, 1]",0.9777104796024972,-9.552529716720377,True,45,,0.3685293103242845
1093,139.1271528,4,1,"[0, 1]",0.9690936074389864,0.94172300471197,True,45,,0.13154855769466958
1105,140.6640232,4,1,"[0, 1]",0.9726915666953616,1.7613084646464494,True,45,,0.1750832115755739
1132,144.1005844,4,1,"[0, 1]",0.9591890096514692,-3.2939452475480464,True,45,,0.23821124912597216
1152,146.6335788,4,0,"[0, 1]",0.39077745471645514,-4.492116864809191,True,45,,0.08760461684455534
1184,150.7006228,4,0,"[0, 1]",0.09864600985926195,84.63588123123813,True,45,,0.17015187793781908
1195,152.0932072,4,0,"[0, 1]",0.6517932182663595,11.31148176175338,True,45,,0.12510555024496517
1380,175.6237128,4,1,"[0, 1]",0.7722968795194947,110.73488082294158,True,45,,0.3077680112329596
1419,180.5657928,4,1,"[0, 1]",0.8228094373315725,0.660205968932917,True,45,,0.3562450618379926
1491,189.7200424,4,1,"[0, 1]",0.15518740894667882,90.04860139718049,False,45,,0.05902352353387432
2007,255.2656012,2,1,"[0, 1]",0.6980316641291592,63.75022053200917,True,45,,0.09598407446624872
2057,261.629518,2,1,"[0, 1]",0.6301298118631177,-135.75051665718638,True,24,,0.07546201764417623
2203,280.2085272,2,0,"[0, 1]",0.371023290892855,-3.5603196136813744,False,24,,0.30544927986261117
2213,281.481642,2,1,"[0, 1]",0.8248953134719684,-58.7478677755994,True,45,,0.2725424377239698
271,34.547211600000004,2,0,"[0, 1]",0.1251945542947951,54.38397046198876,False,45,,0.14532369329629566
497,63.2736192,1,1,"[0, 1]",0.6498290403297593,-103.16054413578883,True,45,,0.1318691005965357
1023,130.214364,4,0,"[0, 1]",0.5745915439777995,20.769202680741504,False,24,,0.17845115018290506
1023,130.214364,4,1,"[0, 1]",0.6714532323912242,-8.18829504547943,True,24,,0.08037532800982698
1031,131.2339152,1,1,"[0, 1]",0.8524054847706072,130.88544857862382,True,45,,0.1368135145465965
1049,133.5285108,4,1,"[0, 1]",0.9798446203660299,3.360687375779961,True,45,,0.21674985777402123
1061,135.0557776,4,0,"[0, 1]",0.6961176252457677,16.113254423524364,False,24,,0.1736778344861098
1069,136.0788816,4,0,"[0, 1]",0.9472827014672913,1.143221221998549,True,45,,0.29000957547515827
1077,137.08940760000002,4,0,"[0, 1]",0.9530630627111849,4.550039156946832,True,45,,0.11787727405500832
1077,137.08940760000002,4,1,"[0, 1]",0.9784597041565762,5.435798780232234,True,45,,0.11146274135568357
1109,141.1706832,4,0,"[0, 1]",0.9627486460519652,-2.8090702935044924,True,45,,0.22643771797037401
1109,141.1706832,4,1,"[0, 1]",0.9685123521931618,3.0127479616476456,True,45,,0.2091770997426888
1120,142.580874,4,1,"[0, 1]",0.9340783252749657,-7.907384981975365,True,27,,0.062220131425921726
1136,144.60238,4,1,"[0, 1]",0.9369402835140638,2.5187709475103843,True,45,,0.22468593327129874
1171,149.037214,4,0,"[0, 1]",0.5676883462020468,-0.19473694742219835,True,45,,0.10459309210948431
1188,151.204732,4,1,"[0, 1]",0.5156744882110693,-16.54056418249438,True,45,,0.12715735269990253
1188,151.204732,4,1,"[0, 2]",0.34610549024660897,-88.08236597226364,False,24,,0.1593975883504408
1188,151.204732,4,1,"[1, 2]",0.12924212643208755,31.771421231522044,False,24,,0.29196559598254895
1383,176.0007496,4,1,"[0, 1]",0.7962873481798434,95.08866785801231,True,24,,0.3326565477770883
1423,181.0786488,4,1,"[0, 1]",0.7847815621977073,-7.71935126193924,True,45,,0.3494969109931674
1980,251.8182324,2,1,"[0, 1]",0.6174708399711852,86.302004761077,True,24,,0.17586657952195478
2047,260.3525104,2,1,"[0, 1]",0.7115455107898604,175.85206257374344,True,24,,0.30713172534014666
2060,262.0187136,2,1,"[0, 1]",0.6003232930836285,-142.2094863174565,True,27,,0.1983700709190532
2087,265.4467468,2,1,"[0, 1]",0.6903507205824284,-67.82283299832092,True,27,,0.3821258174330214
2158,274.488268,3,1,"[0, 1]",0.09674055230574397,-109.9683529261818,False,45,,0.2703297645805443
204,26.0065584,2,1,"[0, 1]",0.821348807899819,-153.0364764420233,True,45,,0.27005855305777127
344,43.820202,2,1,"[0, 1]",0.14379128674683622,-20.735362774235057,False,41,,0.07924086385518701
370,47.1223108,2,0,"[0, 1]",0.08946451684714142,81.36819127543309,False,44,,0.11057541578136774
1013,128.9388576,4,1,"[0, 1]",0.3104362277842551,110.86507043357123,False,45,,0.024106736417952756
1053,134.0394184,4,1,"[0, 1]",0.9770063058985451,10.251262259208474,True,45,,0.15448574426771353
1078,137.2143964,1,1,"[0, 1]",0.7464121136063105,132.42813835419196,True,24,,0.5519765147882464
1089,138.619998,4,1,"[0, 1]",0.9829647504135499,7.2576938551823424,True,45,,0.313348944017111
1097,139.6399236,4,1,"[0, 1]",0.9702477470998028,11.758366515369566,True,45,,0.19095798728535845
1113,141.68041,4,0,"[0, 1]",0.9525519642668168,7.505496976866193,True,45,,0.1898671784994882
1113,141.68041,4,1,"[0, 1]",0.967591756959,-7.254032788464509,True,45,,0.2138728951311265
1124,143.0828248,4,0,"[0, 1]",0.5814503994317638,-36.172545018178134,False,45,,0.060648750490448974
1124,143.0828248,4,1,"[0, 1]",0.9479453072162817,-4.204337382116362,True,45,,0.25099220049333876
1140,145.1135236,4,0,"[0, 1]",0.9352814361114821,11.688748287000719,True,45,,0.10127467852547878
1140,145.1135236,4,1,"[0, 1]",0.940007274208521,-7.4241164873083205,True,45,,0.04200623150916014
1160,147.6416476,4,0,"[0, 1]",0.6993235384764969,29.449932994924996,True,45,,0.3109628780472902
1178,149.9306424,4,0,"[0, 1]",0.6421114826044239,-1.4707806087428055,True,45,,0.21516142014437378
1189,151.3315732,2,1,"[0, 1]",0.45666730831786045,-28.96646134857418,False,45,,0.18015819722730123
1323,168.3727116,4,1,"[0, 1]",0.6457346103612167,50.92548224227752,False,45,,0.142213372950094
1523,193.7780704,4,1,"[0, 1]",0.7010612650542337,21.932656215111226,True,44,,0.042139222748682696
1990,253.104186,2,1,"[0, 1]",0.6168521822637836,127.9145020446337,True,45,,0.19650238672675202
2063,262.397028,2,1,"[0, 1]",0.693976156776601,-161.03948643226852,True,45,,0.11885231552020016
2077,264.1695144,2,1,"[0, 1]",0.46515122595748326,-176.8365857856736,True,24,,0.20308194120851428
2090,265.83207,2,0,"[0, 1]",0.40045497863653295,-71.50809106120894,False,24,,0.2765452409488729
2147,273.081142,2,0,"[0, 1]",0.7783007621731782,39.668229946438586,True,24,,0.11331260288200609
2160,274.7391192,2,1,"[0, 1]",0.621261292970213,-33.20266821071581,False,24,,0.23209864196104968
2187,278.16778,2,0,"[0, 1]",0.6074438219464361,-63.854247529148005,False,45,,0.13802448996580358
