visit,time_s,channel,arm,anchors,R,phase_deg,pilot_supported,held_pairs,failure,wrong_time_R
161,20.53276,2,1,"[0, 1]",0.8544517740994377,117.48547988351194,True,45,,0.11818134616013191
214,27.2871472,2,1,"[0, 1]",0.7117566245192702,-122.60977234665509,True,45,,0.10421207731319443
1037,131.9957736,4,1,"[0, 1]",0.9771332120397977,7.963158125408812,True,45,,0.025241531625699597
1045,133.01281840000001,4,0,"[0, 1]",0.6480491968170483,-20.390849754788626,False,45,,0.1389415547949878
1045,133.01281840000001,4,1,"[0, 1]",0.9693330099130334,2.6855693964401013,True,45,,0.28526134152982296
1065,135.562488,4,0,"[0, 1]",0.9628466378909935,12.654980240787621,True,45,,0.2515383373931616
1065,135.562488,4,1,"[0, 1]",0.9822055482049028,-2.5445185370104104,True,45,,0.1800429639366317
1073,136.5836236,4,1,"[0, 1]",0.9604170179935027,-3.5700732149627297,True,41,,0.05799603996712807
1101,140.1485664,4,1,"[0, 1]",0.9683640683938266,-1.2004973683370883,True,45,,0.17520771952845537
1117,142.1887516,4,0,"[0, 1]",0.5337838547178664,-14.037930398988387,False,24,,0.08635707199812902
1117,142.1887516,4,1,"[0, 1]",0.9597857744811008,-3.919984491129853,True,45,,0.06837261296785577
1128,143.5971888,4,0,"[0, 1]",0.9432319018572144,17.747471520194352,True,45,,0.39507970648527757
1148,146.1198592,4,0,"[0, 1]",0.20938496065186477,35.609693867066284,True,45,,0.29432047868217376
1164,148.14574,4,0,"[0, 1]",0.32646726652695035,18.221749356585544,True,45,,0.2666839071010237
1181,150.3138052,4,0,"[0, 1]",0.3491885557637448,15.597203667890605,True,45,,0.34916609597296894
1191,151.5838116,4,0,"[0, 1]",0.44193251742844536,9.575630215599487,True,45,,0.16673344503120804
2050,260.7340152,2,1,"[0, 1]",0.6805279550938139,177.0397581159938,True,41,,0.16430049360184432
2067,262.9063416,2,1,"[0, 1]",0.6864880209057426,133.5360546179275,True,45,,0.2179887472895152
2113,268.7496448,2,1,"[0, 1]",0.6772490362613739,142.07614464075579,True,45,,0.24233494089223043
