visit,reference,channel,time_s,arm,anchor,R120,R20,complex_coherence,pilot_support,short_screen
120,False,4,15.2484016,0,0,0.2570474566384817,0.7126121483348609,0.29887650485434014,True,False
120,False,4,15.2484016,1,0,0.09364298518560345,0.8639520829947932,0.10849367412803343,True,True
198,False,2,25.1891964,0,0,0.25285382167892434,0.8546269610196771,0.2551301873571771,True,True
198,False,2,25.1891964,1,0,0.2741742367710077,0.9255585996696292,0.268007099866245,True,True
204,False,2,25.9465584,0,0,0.3347827942627048,0.528235203786114,0.3175005386161529,True,False
204,False,2,25.9465584,1,0,0.5996005243113222,0.8830739241959005,0.5999168409915018,True,True
204,False,2,25.9465584,1,1,0.4321886757513144,0.582836310430542,0.39329833324613384,True,False
214,False,2,27.2271472,0,0,0.2665346522000735,0.5285764265855839,0.2393954500759895,True,False
214,False,2,27.2271472,1,0,0.38210875357648294,0.827293507685152,0.4064776589692137,True,True
214,False,2,27.2271472,1,1,0.3046501420655564,0.7783643485148233,0.2985726411820077,True,False
324,False,2,41.203104,0,0,0.5647345289386154,0.9572533575718958,0.5331661321663324,True,True
324,False,2,41.203104,1,0,0.5697736721777008,0.9560138308403152,0.5413121977220587,True,True
332,False,2,42.230496,0,0,0.7377771195183424,0.9670093485402924,0.7408364240003071,True,True
332,False,2,42.230496,1,0,0.7377909498645128,0.9672496173802404,0.7403810503125083,True,True
366,False,2,46.5561232,0,0,0.38650990281992953,0.9398196324651528,0.42593741956449854,True,True
366,False,2,46.5561232,1,0,0.38938721689507283,0.9383794052322589,0.43100452394475103,True,True
1065,True,4,135.502488,0,0,0.5672892114228087,0.9616536471956622,0.5657911988051773,True,True
1065,True,4,135.502488,0,1,0.5977090597117266,0.948393100549452,0.5954572594079968,True,True
1065,True,4,135.502488,1,0,0.5926845016047605,0.9557599170057106,0.5783864736224582,True,True
1065,True,4,135.502488,1,1,0.5701440843447034,0.9676299759869423,0.5727883165783343,True,True
1077,True,4,137.0294076,0,0,0.5978827494649775,0.9868284724838629,0.6049705340872464,True,True
1077,True,4,137.0294076,0,1,0.583092656684801,0.9542738311116047,0.5655924326404308,True,True
1077,True,4,137.0294076,1,0,0.597985057331768,0.9865542865238173,0.6058668507866092,True,True
1077,True,4,137.0294076,1,1,0.6093844187807488,0.9795933639351969,0.5990062370569201,True,True
1093,False,4,139.0671528,0,0,0.40082440574880424,0.9405785959312767,0.3828709326927835,True,True
1093,False,4,139.0671528,1,0,0.4061888691633565,0.9423414022265033,0.3914382274866515,True,True
1093,False,4,139.0671528,1,1,0.405651688884797,0.9127746767694435,0.40449485402777835,True,True
1109,True,4,141.1106832,0,0,0.6129667541425805,0.9336329929726906,0.5733022685760366,True,True
1109,True,4,141.1106832,0,1,0.6569798687730517,0.92163051873657,0.6246384678003187,True,True
1109,True,4,141.1106832,1,0,0.6610244608302266,0.9220012009123315,0.6280273699391629,True,True
1109,True,4,141.1106832,1,1,0.6164932089990396,0.9359444497596213,0.578091205714027,True,True
1113,True,4,141.62041,0,0,0.5107508814264528,0.9586904957148807,0.5148408065397655,True,True
1113,True,4,141.62041,0,1,0.47047964930623914,0.9296956975566215,0.48204516541684156,True,True
1113,True,4,141.62041,1,0,0.48840555384884055,0.9452289641343758,0.4951332088448049,True,True
1113,True,4,141.62041,1,1,0.5105333406215686,0.9589667387097947,0.5149721218146353,True,True
1117,False,4,142.1287516,0,0,0.5315377866628297,0.9597298753031023,0.5467661526486332,True,True
1117,False,4,142.1287516,0,1,0.3545003807511038,0.42510725009173805,0.338564052861952,False,False
1117,False,4,142.1287516,1,0,0.5330780342578572,0.960423601718358,0.5486106474306154,True,True
1117,False,4,142.1287516,1,1,0.5198312698527624,0.9703392665658691,0.5109308338705191,True,True
1124,False,4,143.0228248,0,0,0.33120595306091527,0.8906432139809979,0.3612285276861342,True,True
1124,False,4,143.0228248,0,1,0.21004950307400022,0.5455581181501166,0.1880942118582482,False,False
1124,False,4,143.0228248,1,0,0.3314639318605298,0.8858313413820686,0.3611469007910861,True,True
1124,False,4,143.0228248,1,1,0.29556576150386193,0.9081637515459234,0.2985629415003089,True,True
1140,True,4,145.0535236,0,0,0.4629262814538131,0.8866758013319289,0.5154485699996769,True,True
1140,True,4,145.0535236,0,1,0.5646861325927052,0.9264697417476054,0.5298717754907702,True,True
1140,True,4,145.0535236,1,0,0.5649933270051265,0.9317148561661462,0.5316715144789611,True,True
1140,True,4,145.0535236,1,1,0.46090122109471815,0.8870287256547214,0.512875869936424,True,True
1160,False,4,147.5816476,0,0,0.5471234121938788,0.5803835738317602,0.5651009089089443,True,False
1160,False,4,147.5816476,0,1,0.5719630702722561,0.86797270971229,0.6131111820726796,True,True
1160,False,4,147.5816476,1,0,0.5716420841988632,0.8648989429015551,0.613863984396984,True,True
1195,False,4,152.0332072,0,0,0.6946539455572165,0.5653012886225559,0.8167114321496411,True,False
1195,False,4,152.0332072,0,1,0.1112323663985746,0.40932384491941937,0.13560860223255453,True,False
1195,False,4,152.0332072,1,0,0.11565284195329964,0.6738804334368149,0.13886172943552152,True,False
1199,False,4,152.5418304,0,0,0.719207022487217,0.737875035708084,0.764171566294603,True,False
1199,False,4,152.5418304,1,0,0.7139255461161232,0.7396393454932917,0.7655605590910785,True,False
1403,False,4,178.484284,0,0,0.668956475459902,0.952368291076517,0.7871973524139323,True,True
1403,False,4,178.484284,1,0,0.6597680785695992,0.9561851622892292,0.779284474222926,True,True
1567,False,4,199.3072116,0,0,0.417956453149386,0.7722556387897693,0.4873851973160676,True,False
1567,False,4,199.3072116,1,0,0.5844003558049293,0.8932326641249351,0.5971268761247983,True,True
1578,False,4,200.7064788,0,0,0.8098589379240269,0.8432645477990554,0.8515904156648163,True,True
1578,False,4,200.7064788,1,0,0.8691354481604889,0.9314584902916647,0.8639286778024867,True,True
1602,False,4,203.7676876,0,0,0.5726258485007167,0.8758477717073399,0.5460760173839241,True,True
1602,False,4,203.7676876,1,0,0.635064531055752,0.9120986712029047,0.6151664343213219,True,True
1612,False,4,205.0311208,0,0,0.7123298618941428,0.949821423558641,0.720300076977259,True,True
1612,False,4,205.0311208,1,0,0.7251234176365992,0.9616779727953606,0.7142703228409186,True,True
2067,False,2,262.8463416,0,0,0.03770355842235112,0.31149620414531776,0.10192163359400674,True,False
2067,False,2,262.8463416,1,0,0.5899815255202122,0.8418827990623885,0.6335641896760668,True,True
2067,False,2,262.8463416,1,1,0.5615642556147938,0.48177721245178073,0.628489820478327,True,False
2071,False,3,263.3528392,0,0,0.7250895440936423,0.8186827767890297,0.7492182426449543,True,True
2071,False,3,263.3528392,1,0,0.8086851284457626,0.9208352389504617,0.8403918636045768,True,True
2093,False,2,266.1547312,0,0,0.5888502408785155,0.9735280922804752,0.5846434761259345,True,True
2093,False,2,266.1547312,1,0,0.5648190899864548,0.9705746241626123,0.5577482482217326,True,True
2133,False,2,271.2361704,0,0,0.46415902872003817,0.9616379017006872,0.4665804397325095,True,True
2133,False,2,271.2361704,1,0,0.4537680752596655,0.9651688662679041,0.45283217797550124,True,True
2188,False,3,278.2328092,0,0,0.4192307127818331,0.6891072662823945,0.5162686876374115,True,False
2188,False,3,278.2328092,1,0,0.4782748532227231,0.7068539936506323,0.5704177012345328,True,False
2195,False,3,279.1232856,0,0,0.11679871745929792,0.7876638389480712,0.16283913758466848,True,False
2195,False,3,279.1232856,1,0,0.5847025337866302,0.868741237380714,0.7850622247785002,True,True
2195,False,3,279.1232856,1,1,0.23291226755013447,0.5626482305199314,0.2855914847393334,False,False
2219,False,4,282.1818348,0,0,0.5831264901511878,0.9332654972265572,0.5871610218042216,True,True
2219,False,4,282.1818348,1,0,0.5744471529964483,0.9407910978975313,0.582179962040142,True,True
2221,False,2,282.4352476,0,0,0.5990159357142028,0.9254771108915958,0.6296170295351182,True,True
2221,False,2,282.4352476,1,0,0.5992857320721036,0.9258410186139094,0.6296990886114407,True,True
2226,False,4,283.078132,0,0,0.6363722430925735,0.9693216780405276,0.6280598475645106,True,True
2226,False,4,283.078132,0,1,0.22030951986760078,0.34982309697948716,0.18772788585578692,False,False
2226,False,4,283.078132,1,0,0.653029868470399,0.973959435594018,0.6545874444944226,True,True
2273,False,4,289.041364,0,0,0.6009876372620249,0.9527457238129606,0.5722770677078572,True,True
2273,False,4,289.041364,1,0,0.6108653288137683,0.9606695518404278,0.5940102855702497,True,True
2280,False,4,289.9342536,0,0,0.47578260842072473,0.9665618545758883,0.47013630142616913,True,True
2280,False,4,289.9342536,1,0,0.47562419443311077,0.967076870007517,0.4699820960828269,True,True
2342,False,2,297.8161632,0,0,0.6121729181732749,0.926668431928882,0.628298884511382,True,True
2342,False,2,297.8161632,1,0,0.6121499799174738,0.9289111306392204,0.6280932000427711,True,True
