acquisition_restarts,acquisition_state,analysis_failed,analysis_queued,analysis_running,analysis_succeeded,api_restarts,api_state,capture_http,capture_json,observed_utc,queue_leased,queue_queued,root_used_percent,worker_active,worker_failed
0,active,2,0,1,34,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:33:03Z,1,0,20,20,0
0,active,3,0,0,34,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:34:03Z,1,0,20,20,0
0,active,3,0,1,34,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:35:03Z,1,0,20,20,0
0,active,3,0,1,34,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:36:03Z,1,0,20,20,0
0,active,3,0,1,34,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:37:03Z,1,0,20,20,0
0,active,3,0,2,34,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:38:03Z,1,0,20,20,0
0,active,3,0,1,35,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:39:04Z,1,0,20,20,0
0,active,3,0,1,35,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:40:04Z,1,0,20,20,0
0,active,3,0,2,35,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:41:04Z,1,0,20,20,0
0,active,3,0,2,35,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:42:04Z,1,0,20,20,0
0,active,3,0,2,35,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:43:04Z,1,0,20,20,0
0,active,3,0,3,35,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:44:04Z,1,0,20,20,0
0,active,3,0,2,36,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:45:04Z,1,0,20,20,0
0,active,3,0,2,36,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:46:04Z,1,0,20,20,0
0,active,3,0,3,36,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:47:04Z,1,0,20,20,0
0,active,3,0,3,36,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:48:04Z,1,0,20,20,0
0,active,3,0,2,37,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:49:04Z,1,0,20,20,0
0,active,3,0,3,37,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:50:04Z,1,0,20,20,0
0,active,3,0,3,37,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:51:04Z,0,0,20,20,0
0,active,3,0,3,37,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:52:05Z,0,0,20,20,0
0,active,3,0,2,38,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:53:05Z,0,0,20,20,0
0,active,3,0,2,38,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:54:05Z,0,0,20,20,0
0,active,3,0,1,39,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:55:05Z,1,0,20,20,0
0,active,3,0,1,39,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:56:05Z,1,0,20,20,0
0,active,3,0,2,39,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:57:05Z,1,0,20,20,0
0,active,3,0,2,39,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:58:05Z,1,0,20,20,0
0,active,3,0,1,40,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T09:59:05Z,1,0,20,20,0
0,active,3,0,2,40,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:00:05Z,1,0,20,20,0
0,active,3,0,2,40,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:01:05Z,1,0,20,20,0
0,active,3,0,1,41,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:02:05Z,1,0,20,20,0
0,active,3,0,2,41,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:03:05Z,1,0,20,20,0
0,active,3,0,2,41,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:04:05Z,1,0,20,20,0
0,active,3,0,1,42,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:05:06Z,1,0,20,20,0
0,active,3,0,2,42,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:06:06Z,1,0,20,20,0
0,active,3,0,1,43,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:07:06Z,1,0,20,20,0
0,active,3,0,2,43,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:08:06Z,1,0,20,20,0
0,active,3,0,2,43,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:09:06Z,1,0,20,20,0
0,active,3,0,1,44,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:10:06Z,1,0,20,20,0
0,active,3,0,2,44,0,active,200,"{""schema_version"":1,""generation"":14,""desired_state"":""running"",""observed_state"":""running"",""changed_utc_ns"":1787470352793293150,""operator_id"":""web-ui"",""reason"":""operator started capture from web UI""}",2026-08-23T10:11:06Z,1,0,20,20,0
