actual_digest,byte_size,expected_digest,media_type,path,relative_path,scan_id
sha256:239c43d5aab7cd46439a6587e0954d973331849669f8ad9a95ca9e3ba21dc8c8,141778,sha256:239c43d5aab7cd46439a6587e0954d973331849669f8ad9a95ca9e3ba21dc8c8,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-2be19767de8946c3-03/standard-scan-analysis-pilot-plots-v1/scanner-pilot-doppler-segments.v1.json,scanner-pilot-doppler-segments.v1.json,scan-burst-2be19767de8946c3-03
sha256:85f67dd3f41c3b0310d94cca479696db3bbae69cf25e9e332adf17d920d5cf20,849684,sha256:85f67dd3f41c3b0310d94cca479696db3bbae69cf25e9e332adf17d920d5cf20,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-2be19767de8946c3-03/standard-scan-analysis-pilot-plots-v1/presentation/scanner-waterfall.v1.png,presentation/scanner-waterfall.v1.png,scan-burst-2be19767de8946c3-03
sha256:82d5f4618d002d19bb7aae604dbff4be37312e4dc49fb74e1ed5c0a8750119a6,192242,sha256:82d5f4618d002d19bb7aae604dbff4be37312e4dc49fb74e1ed5c0a8750119a6,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-2be19767de8946c3-03/standard-scan-analysis-pilot-plots-v1/presentation/scanner-glrt64-response.v1.png,presentation/scanner-glrt64-response.v1.png,scan-burst-2be19767de8946c3-03
sha256:2a32031f73da498991d7edd69d50c27f366cfdda0e4f69e51f19e5ccff82b11f,449259,sha256:2a32031f73da498991d7edd69d50c27f366cfdda0e4f69e51f19e5ccff82b11f,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-2be19767de8946c3-03/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-doppler-segments.v1.png,presentation/scanner-pilot-doppler-segments.v1.png,scan-burst-2be19767de8946c3-03
sha256:00066aed00ea6d7295048851b07ec34f2cce19b9edc930bd46f8a11cbccfd3f0,219019,sha256:00066aed00ea6d7295048851b07ec34f2cce19b9edc930bd46f8a11cbccfd3f0,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-2be19767de8946c3-03/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-carrier-tracking.v1.png,presentation/scanner-pilot-carrier-tracking.v1.png,scan-burst-2be19767de8946c3-03
sha256:ddd4c0f8edcaf3abfc338bc262179692ad008b36df3e25e7bb5cbe4c2669516b,97282,sha256:ddd4c0f8edcaf3abfc338bc262179692ad008b36df3e25e7bb5cbe4c2669516b,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-2be19767de8946c3-03/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-segment-rates.v1.png,presentation/scanner-pilot-segment-rates.v1.png,scan-burst-2be19767de8946c3-03
sha256:6b743597c52522a900bbe1af6d70a44d98fe39aebe9a8a715efae9f156fa8be6,6048,sha256:6b743597c52522a900bbe1af6d70a44d98fe39aebe9a8a715efae9f156fa8be6,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-2be19767de8946c3-04/standard-scan-analysis-pilot-plots-v1/scanner-report.v1.json,scanner-report.v1.json,scan-burst-2be19767de8946c3-04
sha256:813a4a302334c5b43bc29ed9a1fccff3f6dfad9b4d67f9b6fa3de4ee1318c021,3831443,sha256:813a4a302334c5b43bc29ed9a1fccff3f6dfad9b4d67f9b6fa3de4ee1318c021,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-2be19767de8946c3-04/standard-scan-analysis-pilot-plots-v1/scanner-metrics.v1.json,scanner-metrics.v1.json,scan-burst-2be19767de8946c3-04
sha256:fdf143a6e1a9823988a0ddf1fd54446f153201cc306b2f82c996cd52e72686a6,152822,sha256:fdf143a6e1a9823988a0ddf1fd54446f153201cc306b2f82c996cd52e72686a6,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-2be19767de8946c3-04/standard-scan-analysis-pilot-plots-v1/scanner-pilot-doppler-segments.v1.json,scanner-pilot-doppler-segments.v1.json,scan-burst-2be19767de8946c3-04
sha256:33bda085b46e4217664619a9cf620fa55891152b3dfdc4a7ea1444fc8ac6602a,849656,sha256:33bda085b46e4217664619a9cf620fa55891152b3dfdc4a7ea1444fc8ac6602a,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-2be19767de8946c3-04/standard-scan-analysis-pilot-plots-v1/presentation/scanner-waterfall.v1.png,presentation/scanner-waterfall.v1.png,scan-burst-2be19767de8946c3-04
sha256:aa234f7c0d3074e7ca642bf5e188a432455b2f08b5500509482bc4e91dcc859c,203205,sha256:aa234f7c0d3074e7ca642bf5e188a432455b2f08b5500509482bc4e91dcc859c,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-2be19767de8946c3-04/standard-scan-analysis-pilot-plots-v1/presentation/scanner-glrt64-response.v1.png,presentation/scanner-glrt64-response.v1.png,scan-burst-2be19767de8946c3-04
sha256:edfc289cad580f489192b851c0c826398ea56898ae1aca1cd426f5fd5dc5a548,497813,sha256:edfc289cad580f489192b851c0c826398ea56898ae1aca1cd426f5fd5dc5a548,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-2be19767de8946c3-04/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-doppler-segments.v1.png,presentation/scanner-pilot-doppler-segments.v1.png,scan-burst-2be19767de8946c3-04
sha256:7c0e79f67e5da819c24f31b940f0ecc187383e1860501c58d05ae3974880f97c,224499,sha256:7c0e79f67e5da819c24f31b940f0ecc187383e1860501c58d05ae3974880f97c,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-2be19767de8946c3-04/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-carrier-tracking.v1.png,presentation/scanner-pilot-carrier-tracking.v1.png,scan-burst-2be19767de8946c3-04
sha256:3408f17b176caa5713ee25744beae09fef5e8ea8b1f932e0656071d8653dd580,96411,sha256:3408f17b176caa5713ee25744beae09fef5e8ea8b1f932e0656071d8653dd580,image/png,/srv/bulk/leo/scanner-analysis/scan-burst-2be19767de8946c3-04/standard-scan-analysis-pilot-plots-v1/presentation/scanner-pilot-segment-rates.v1.png,presentation/scanner-pilot-segment-rates.v1.png,scan-burst-2be19767de8946c3-04
sha256:7bb8e0e6ec6fc4275f8e06c56cd7c97ebc583e88f3b200eb2edc6fc0b4546106,5767,sha256:7bb8e0e6ec6fc4275f8e06c56cd7c97ebc583e88f3b200eb2edc6fc0b4546106,application/json,/srv/bulk/leo/scanner-analysis/scan-burst-3c6ca352d6804250-01/standard-scan-analysis-pilot-plots-v1/scanner-report.v1.json,scanner-report.v1.json,scan-burst-3c6ca352d6804250-01
