index,session_id,episode_id,causal_norad,retrospective_norad,identity_changed,identical_tle,material_improvement,pipeline_causal_heldout_hz,pipeline_retrospective_heldout_hz,causal_age_h,retrospective_age_h
24,scan-fw-2cc439088902d3cb,sha256:8c722151d1b2f9bd14ceb33f9312532dc4a914e2e8e79705ec2611bf91c7da31,61912,61912,False,False,True,203.20236227182306,33.80746961540326,22.245492421006112,-2.8629403788516665
25,scan-fw-84018161c4854b96,sha256:f961c60c216605517cb9474ea652dbe6cbb44371d0a11e942f7954c03066254d,64257,64257,False,False,True,138.68920178793485,20.370815678505117,20.497406076655277,3.301555116655278
26,scan-fw-84018161c4854b96,sha256:fcc7fd812a2a65920616381def9c568edfa79ee14d43b6f5cc6c07ea26368253,64257,64257,False,False,True,259.99035979940373,114.60085713699009,20.497406076655277,3.301555116655278
27,scan-fw-84018161c4854b96,sha256:695d62f47256d48e73ba52e37c545d627c935d9cb6161d4f9a3a504e31707847,64257,64257,False,False,True,304.064450680004,108.13341055422744,20.497406076655277,3.301555116655278
28,scan-fw-84018161c4854b96,sha256:6b3902295818cfdbc5d9e8cd47ae39109c05fb9f683837536e1551ae877c629a,62285,62285,False,False,True,323.6164097704943,52.71314003055612,30.247068156655278,0.43095255665527776
29,scan-fw-84018161c4854b96,sha256:fb28ebb901cbba8752a7ad3c2258caae05efd7f484986cd4e820a26d902ae6f3,64257,64257,False,False,True,285.27698154111437,57.33975744073486,20.497406076655277,3.301555116655278
30,scan-fw-84018161c4854b96,sha256:074af9e4c5a0c123117d49306d289aa1b724d0e30bf4a3cb34e751cd62b933cd,64257,64257,False,False,True,508.2766037171366,30.343648973860752,20.497406076655277,3.301555116655278
31,scan-fw-339f6cd315644713,sha256:e50ddc6646d98feaf2e50f83d6915ef361e4ab27e0cec9123d924a62dccdce38,58747,58747,False,False,False,82.06025712653806,70.65646600842591,24.000885933446668,2.0311815334466665
32,scan-fw-339f6cd315644713,sha256:f0936745d75008435766fe7743c14e7e1393feb4ee6c11f38060c14944870553,64272,64272,False,False,True,221.62362041082292,111.91443088403612,20.520616893446668,-10.744645346624445
33,scan-fw-339f6cd315644713,sha256:dd4c30c4193b28ddd88d1c163b36c11bef1ab8210ba3fc8a913d4c64924e751c,64272,64272,False,False,False,246.2603481216115,242.72876892646602,20.520616893446668,-10.744645346624445
34,scan-fw-99d253498c148c7e,sha256:7a76304dbfc038bd15c27ab14b1c3979b32de8cc58a0dee5d0c683c354d29c73,62492,62492,False,False,False,161.22053467855358,164.3536027043867,22.21246057167222,-1.3266244682566666
35,scan-fw-99d253498c148c7e,sha256:7633073878a8a79384b6529064d8502be8c5317b6fe34d63fc585986130e0c90,62492,62492,False,False,True,153.4173601658722,55.754682640105436,22.21246057167222,-1.3266244682566666
36,scan-fw-99d253498c148c7e,sha256:425462b93938d6725d5442c0e9943f5ed8e5cdb64497916571ed02957d3a57b7,62492,62492,False,False,True,192.12186844955212,125.05657797588539,22.21246057167222,-1.3266244682566666
37,scan-fw-99d253498c148c7e,sha256:f7f3aa51d5c6d01f7c28ed329aa4e89b8db9c88e89390a6b65fa486014d8efea,61547,61547,False,False,False,93.58785100106684,175.01190810360748,17.70811249167222,2.0752094516722224
38,scan-fw-99d253498c148c7e,sha256:66face50909026e40d267ff7a8ba02093e478f0c4f9a6732c1ef720c1f23bf91,61547,61547,False,False,False,105.220173772309,137.4655411529702,17.70811249167222,2.0752094516722224
39,scan-fw-99d253498c148c7e,sha256:2c055ac8c884a08fde573239ea15024aec1b80ace4d689eacf1b4c45a0378930,67356,67356,False,False,False,43.949269882082966,36.83163136216053,9.842395691672222,0.4267576916722222
40,scan-fw-99d253498c148c7e,sha256:021c97ca1de73f441ca959a06d8ffeb8aef55b7c135d0258bd40782128d068e1,67356,67356,False,False,True,93.05458243988744,49.66734688240532,9.842395691672222,0.4267576916722222
41,scan-fw-f5c5c846a92fc5e7,sha256:b60e613d30fa77f5e621acc4d4f620cece9748cc5356833a2cb00fac33cf1b56,66474,66474,False,False,True,164.87388272328369,75.88696249209255,22.218519386959724,-20.15234085304028
42,scan-fw-f5c5c846a92fc5e7,sha256:2035daa283be6cd4dba30c084204b50f581e13d7250b6cbfd1a906c2419cc5d0,66474,66474,False,False,True,446.96989512979457,130.2859600514323,22.218519386959724,-20.15234085304028
43,scan-fw-f5c5c846a92fc5e7,sha256:0a6caa235e07bd5b93f696d9b8eb4d2176e9df9c7a4d20785e0ce6e6536e9f1a,62570,62570,False,False,True,305.8258791207379,107.43085282515932,26.94347066688861,-1.3034565330402779
44,scan-fw-f5c5c846a92fc5e7,sha256:ee878bb95d542d8d89f2f43da7b250e0608a74e0c16a6d787afd469eb801276b,67360,67360,False,False,True,201.73357712635595,34.220114076847295,25.578713306959724,2.0394343469597223
45,scan-fw-c278e7656221ad52,sha256:f100a063dac4ee550ea6551acd9cf277ada45c93d61a620789181ca331c85cb8,59085,59085,False,False,True,390.13758621310984,75.60165118686749,52.02630101864417,-1.3290611413558333
46,scan-fw-c278e7656221ad52,sha256:ba53043b82ad328432e515ebd58374574db1a74a86d811d1a109067580f84d26,57826,57826,False,False,True,79.9970940619382,38.61518103261476,23.965123738644166,0.42583853864416665
47,scan-fw-ccbbacd514abeb9f,sha256:d3dfb18a700f015ff83c36441d73b63f1f3f38f392d20ea15f0c859ce1e0a7af,61863,61863,False,False,False,37.96141123446498,33.80463951467713,16.134101700193334,2.0105488201933333
48,scan-fw-7c0ab729e74bedf6,sha256:8dd599b8f84b912debbb665368b98df4e7f76927a967fc6b1cf5bac809c79f27,64247,64247,False,False,True,97.60054147256302,70.76220450786205,22.192354988541943,4.930324988541944
49,scan-fw-7c0ab729e74bedf6,sha256:9d14c53497616c5d59966c2ce3cb9809107810b3f21f56d6a52603a5a49e4c53,63494,63494,False,False,False,59.39733572302286,39.91813089213086,20.463965948541944,3.2680137085419445
50,scan-fw-7c0ab729e74bedf6,sha256:9af2429433bc5978af9de5bf179e47989f20199bda2a0518844103ba229b286e,63494,63494,False,False,True,103.43156739267937,71.1601420925932,20.463965948541944,3.2680137085419445
51,scan-fw-7c0ab729e74bedf6,sha256:5878eff14a1b9e123bc5c1aedfaf27869315420237a541cb8782547c46e61fe4,64247,64247,False,False,True,140.58854365432296,64.73318632078954,22.192354988541943,4.930324988541944
52,scan-fw-7c0ab729e74bedf6,sha256:19daddff2f064c7b6150279e0c810ddcec865daaa726c3334e2c245576349025,64247,64247,False,False,False,148.90423707100317,117.59123323107288,22.192354988541943,4.930324988541944
53,scan-fw-7c0ab729e74bedf6,sha256:150312edb3858c23fd4c8d8b061f400d110a8b655c73a972b67df791d634198e,63494,63494,False,False,False,87.3323202779175,82.35941426640969,20.463965948541944,3.2680137085419445
54,scan-fw-7c0ab729e74bedf6,sha256:5e8597ca91df0cb3be88f12efa2bd5c486b9536cd8eb99cae518c5bf6d16fd16,61953,61953,False,False,False,189.56966934541705,301.05224766816633,14.224014428541944,4.844378828613055
55,scan-fw-9c432e95cfac4f8b,sha256:0fa8fcaf1e12d349b4aabce272fbe4484b566feca9518b229f5f56e6e89c6794,63513,63513,False,False,False,25.560495534564897,24.052532432889297,22.095833426675,-2.960275293325
56,scan-fw-9c432e95cfac4f8b,sha256:545513054b8310239c0e6cba172e43d0ec0755fcdc79520775fb6b94f4e292f7,67913,67913,False,False,True,71.39680883001056,18.391141005815822,16.111257266675,1.987777826675
57,scan-fw-9c432e95cfac4f8b,sha256:7e0ce82e513580ee148d2a69db6fa174f8516924da15de50b1616fbf57703279,67913,67913,False,False,True,72.6417934026352,41.164192407514406,16.111257266675,1.987777826675
58,scan-fw-9c432e95cfac4f8b,sha256:254f4e3bb9614d687869e8e384cb69b55827bb1da02aa4c7f6d025ce11ca40da,66624,66624,False,False,True,92.32521828210659,21.841299082641882,20.468327666675,-9.233659773325
