session_id,path,scope_digest,stage,trajectory_id,polynomial_degree,reference_time_s,start_s,end_s,duration_s,linear_slope_hz_s,selected_for_correction,fit_matches_well,replay_tier,automatic_correction_eligible,source_uri,source_digest
cap-20260821T201522-841b2a20e151,stream-0/RX0,sha256:52f93e1e7b40c4ae4b5a0eb74373695ade208e89f50f9e2ac4c684e93abd179a,before_replay,sha256:ff8995fda2a6087c282c3515baa9529c588de11ca003a31adb224af521fcd003,2,25.553246753246754,23.625,26.925,3.3000000000000007,-5642.450155347398,False,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:52f93e1e7b40c4ae4b5a0eb74373695ade208e89f50f9e2ac4c684e93abd179a/standard.glrt64-trajectory-table.v2.json,sha256:ed6cbf622b7f0f42271f4361e55ae767380f0337cae77f5928723888ec92d427
cap-20260821T201522-841b2a20e151,stream-0/RX0,sha256:52f93e1e7b40c4ae4b5a0eb74373695ade208e89f50f9e2ac4c684e93abd179a,before_replay,sha256:233a780b25c0846a597be6926e5101fb73684435d05ba14be9f04bbe0c3efa32,3,25.679761904761904,23.625,27.2,3.5749999999999993,-5190.9405527459,True,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:52f93e1e7b40c4ae4b5a0eb74373695ade208e89f50f9e2ac4c684e93abd179a/standard.glrt64-trajectory-table.v2.json,sha256:ed6cbf622b7f0f42271f4361e55ae767380f0337cae77f5928723888ec92d427
cap-20260821T201522-841b2a20e151,stream-0/RX0,sha256:52f93e1e7b40c4ae4b5a0eb74373695ade208e89f50f9e2ac4c684e93abd179a,after_replay,sha256:0cf42306feea51e7d756e5235c6eff6e27de3d8d1413b6f9314565ec625072a2,3,23.625,23.625,27.2,3.5749999999999993,-9638.945876414347,,,automatic,True,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:52f93e1e7b40c4ae4b5a0eb74373695ade208e89f50f9e2ac4c684e93abd179a/standard.glrt64-final-trajectory-table.v3.json,sha256:3886269b4f282c93702a9bb528506d5a8a5d7cae542ef92406c322b4f9f9ae9e
cap-20260821T201522-841b2a20e151,stream-0/RX0,sha256:52f93e1e7b40c4ae4b5a0eb74373695ade208e89f50f9e2ac4c684e93abd179a,after_replay,sha256:4363b212e4ac82d6b9b7793effb438ff09c894bd26b3717967f734b2b03ae568,3,7.275,7.275,10.95,3.674999999999999,-6692.860276763856,,,automatic,True,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:52f93e1e7b40c4ae4b5a0eb74373695ade208e89f50f9e2ac4c684e93abd179a/standard.glrt64-final-trajectory-table.v3.json,sha256:3886269b4f282c93702a9bb528506d5a8a5d7cae542ef92406c322b4f9f9ae9e
cap-20260821T201522-841b2a20e151,stream-0/RX0,sha256:52f93e1e7b40c4ae4b5a0eb74373695ade208e89f50f9e2ac4c684e93abd179a,after_replay,sha256:6a0bb9638253cbd0d030f031ff233e291bbc022fbb17479a3881ce81306b5b73,1,20.3,20.3,25.95,5.649999999999999,-5957.170251428687,,,automatic,True,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:52f93e1e7b40c4ae4b5a0eb74373695ade208e89f50f9e2ac4c684e93abd179a/standard.glrt64-final-trajectory-table.v3.json,sha256:3886269b4f282c93702a9bb528506d5a8a5d7cae542ef92406c322b4f9f9ae9e
cap-20260821T201522-841b2a20e151,stream-0/RX0,sha256:52f93e1e7b40c4ae4b5a0eb74373695ade208e89f50f9e2ac4c684e93abd179a,after_replay,sha256:7b3e36fbbcf9ef2ae93ccdb56f4d4d1bae7b4b0459bf7a310a8b0a036fb2cb9c,3,16.15,16.15,23.225,7.075000000000003,-4084.9144088542635,,,automatic,True,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:52f93e1e7b40c4ae4b5a0eb74373695ade208e89f50f9e2ac4c684e93abd179a/standard.glrt64-final-trajectory-table.v3.json,sha256:3886269b4f282c93702a9bb528506d5a8a5d7cae542ef92406c322b4f9f9ae9e
cap-20260821T201522-841b2a20e151,stream-0/RX1,sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39,before_replay,sha256:1d5ced3a124d718e1c88b5bd82bf374912fd3a9a7a99a0fcc2cb42d38dee1513,3,15.257513966480447,0.0,26.925,26.925,-6780.70621737811,True,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39/standard.glrt64-trajectory-table.v2.json,sha256:78c771f6b697c44f983cc0bf99d2dc00f8b00967ced134e0fb504c8a08e60e14
cap-20260821T201522-841b2a20e151,stream-0/RX1,sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39,before_replay,sha256:dcbec86395c0ec1f6189e16b0e18f7c5892b80cc5f9bb55c2efacbb23210751e,2,14.705275498241498,0.275,27.2,26.925,-6462.1527329833725,False,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39/standard.glrt64-trajectory-table.v2.json,sha256:78c771f6b697c44f983cc0bf99d2dc00f8b00967ced134e0fb504c8a08e60e14
cap-20260821T201522-841b2a20e151,stream-0/RX1,sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39,before_replay,sha256:af5e6be988ecacce176572b7eb279b6a2f5dca3553b7e74717fec75f584ce3f9,1,16.17803125,1.9,27.2,25.3,-6527.349480985292,False,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39/standard.glrt64-trajectory-table.v2.json,sha256:78c771f6b697c44f983cc0bf99d2dc00f8b00967ced134e0fb504c8a08e60e14
cap-20260821T201522-841b2a20e151,stream-0/RX1,sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39,before_replay,sha256:dfdad6bb26799f3728537f54376a6bc16580945742aee518977db79a7bea766a,1,34.77608695652174,31.2,37.475,6.275000000000002,-8669.107669106905,False,True,,,bulk://analysis/cap-20260821T201522-841b2a20e151/capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf/scientific/path-standard/sha256:8725a64ff58c01ffc7fb1754cefafe1f92a2ffdd9a993cec31a9b0c73eeaae39/standard.glrt64-trajectory-table.v2.json,sha256:78c771f6b697c44f983cc0bf99d2dc00f8b00967ced134e0fb504c8a08e60e14
