session_id,capture_start_utc,sample_rate_hz,selected_visits,candidate_visits,timed_visits,tracking_updates,targets_reaching_tracking,median_alternating_validation_rms_ns
scan-fw-369d9f3f7741d36e,2026-09-17T11:40:01.271521Z,15000000,7,2,2,0,0,1149.5048178616066
scan-fw-3b4b781c31aeee7e,2026-09-17T13:00:01.386354Z,10000000,7,0,0,0,0,
scan-fw-3b7ab0ade03b6679,2026-09-17T16:00:01.643455Z,10000000,7,1,1,11,3,1213.1945358418614
scan-fw-3c965db47d95e0db,2026-09-17T11:20:05.328120Z,20000000,7,2,2,0,0,1255.2946840484578
scan-fw-4c6996e6f3096ea8,2026-09-17T22:20:17.193178Z,20000000,7,2,2,0,0,846.4941057379795
scan-fw-4de4342443509fb0,2026-09-17T10:40:01.520520Z,15000000,7,2,2,3,1,852.4918529993872
scan-fw-542dcf033d7c6108,2026-09-17T20:00:07.041798Z,10000000,7,3,3,3,1,1067.1163695363603
scan-fw-5a5a9ac56b112e16,2026-09-17T20:10:01.519955Z,15000000,7,0,0,0,0,
scan-fw-5cc12d007bc99130,2026-09-17T10:10:01.518749Z,15000000,7,0,0,12,3,
scan-fw-606dd496a1243ac2,2026-09-17T20:30:16.717269Z,10000000,7,1,1,1,1,982.09096806657
scan-fw-611f25cc9a4f4f3b,2026-09-17T21:30:01.625606Z,10000000,7,0,0,0,0,
scan-fw-61a62066d401f816,2026-09-17T22:00:01.619998Z,10000000,7,1,1,0,0,881.8510617203092
scan-fw-66f79be3ab5755cb,2026-09-17T14:30:03.003337Z,10000000,7,3,3,5,2,1103.7225412886908
scan-fw-7253df2bd4332d69,2026-09-17T19:40:01.333788Z,15000000,7,0,0,2,1,
scan-fw-732c90485eefd8ff,2026-09-17T15:40:01.557688Z,15000000,7,0,0,0,0,
scan-fw-7367d02117142473,2026-09-17T10:30:01.331120Z,10000000,7,0,0,6,2,
scan-fw-75519ddd5a7aba8c,2026-09-17T20:20:01.519200Z,20000000,7,1,1,4,1,1023.7926944556807
scan-fw-75d1334d430bd557,2026-09-17T13:30:01.458763Z,10000000,7,1,1,0,0,1304.314456712411
scan-fw-7851abe2d25a9813,2026-09-18T00:00:17.128490Z,10000000,7,0,0,0,0,
scan-fw-7b78a2ba16003bdc,2026-09-17T16:10:01.242534Z,15000000,7,5,5,0,0,749.5797555781614
scan-fw-7cb61f9e2e56f342,2026-09-17T13:10:01.565875Z,15000000,7,3,3,12,4,1081.8159525005442
scan-fw-84ee89a6734ea002,2026-09-17T16:50:01.571701Z,20000000,7,1,1,16,5,905.0766762649197
scan-fw-856a78101d6735d2,2026-09-17T09:40:02.060099Z,15000000,7,4,4,9,4,996.4160200915138
scan-fw-96b4e126ec00ff76,2026-09-17T20:40:01.560981Z,15000000,7,0,0,0,0,
scan-fw-9af6c64585de4fbb,2026-09-17T13:40:01.273292Z,15000000,7,3,3,8,2,1030.228207571439
scan-fw-a1453a551a154915,2026-09-17T23:30:01.623594Z,10000000,7,0,0,4,1,
scan-fw-a65d4f755073c20e,2026-09-17T22:40:01.496657Z,15000000,7,1,1,3,3,1134.9030629960787
scan-fw-adc3b468b30c9c7b,2026-09-17T09:00:01.596467Z,10000000,7,1,1,0,0,389.0356969590375
scan-fw-ae120ce6c07b3587,2026-09-17T12:00:01.366914Z,10000000,7,0,0,0,0,
scan-fw-b1f2e5ba215cfa49,2026-09-17T12:40:01.630030Z,15000000,7,3,3,0,0,1087.73574758757
scan-fw-b62904c4cec1dd57,2026-09-17T17:00:01.662720Z,10000000,7,2,2,0,0,945.4738539417071
scan-fw-b668568d6721d389,2026-09-17T16:30:01.310689Z,10000000,7,1,1,0,0,742.4592038384968
scan-fw-c06a6d0069990294,2026-09-17T13:50:01.659181Z,20000000,7,2,2,2,1,786.6716519702197
scan-fw-c5d2a8fb00b1d4d4,2026-09-17T19:10:01.583730Z,15000000,7,2,2,7,2,1141.4362743781558
scan-fw-cc1edb68384854df,2026-09-17T15:10:01.348975Z,15000000,7,4,4,8,2,1078.1841669516398
scan-fw-d16d9850f0f494bc,2026-09-17T23:10:01.295102Z,15000000,7,1,1,0,0,901.9268544848532
scan-fw-d355d83ab1474d34,2026-09-17T18:00:01.344526Z,10000000,7,2,2,3,1,1055.9341559749578
scan-fw-d72f88e21eb9e620,2026-09-17T09:30:01.611607Z,10000000,7,0,0,2,1,
scan-fw-da6805a08345af8c,2026-09-18T00:10:01.302844Z,15000000,7,0,0,1,1,
scan-fw-e6f41401336687f2,2026-09-17T19:00:01.636905Z,10000000,7,2,2,0,0,1022.4709651661694
scan-fw-ee0580647f45d712,2026-09-17T23:00:01.610518Z,10000000,7,0,0,7,3,
scan-fw-ef47da375ba0d8fe,2026-09-17T17:10:01.325926Z,15000000,7,2,2,0,0,1098.1552083788747
scan-fw-f0e3c515533afbc9,2026-09-17T18:30:01.380334Z,10000000,7,1,1,5,2,1081.842738671458
scan-fw-f83f76755271d5e9,2026-09-17T17:30:01.393031Z,10000000,7,2,2,5,2,1165.5908862898737
