session_id,sample_rate_hz,visit_index,target_index,state,reason,accepted_observations,timing_sigma_ns,cfo_sigma_hz
scan-fw-0ae4d2e146a1cbac,20000000,864,3,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,865,7,acquiring,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,866,0,acquiring,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,867,0,acquiring,accepted PSS observation,1,1163.9078309909928,200000.0
scan-fw-0ae4d2e146a1cbac,20000000,868,2,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,869,4,acquiring,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,870,3,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,871,6,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,872,0,coasting,no observation inside prediction gate,1,7115.088432939008,200123.42172797714
scan-fw-0ae4d2e146a1cbac,20000000,873,4,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,874,7,acquiring,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,875,3,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,876,4,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,877,3,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,879,5,acquiring,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,880,0,coasting,no observation inside prediction gate,1,18269.642850023698,200834.32251554864
scan-fw-0ae4d2e146a1cbac,20000000,881,6,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,882,4,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,884,6,acquiring,accepted PSS observation,1,1200.2712144989514,200000.0
scan-fw-0ae4d2e146a1cbac,20000000,885,7,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,887,5,lost,ambiguous timing modes,0,,
scan-fw-0ae4d2e146a1cbac,20000000,888,4,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,889,2,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,891,2,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,893,5,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,895,7,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,896,5,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,898,0,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,899,7,lost,ambiguous timing modes,0,,
scan-fw-0ae4d2e146a1cbac,20000000,902,0,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,903,5,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,904,7,lost,no observation inside prediction gate,0,,
scan-fw-0ae4d2e146a1cbac,20000000,910,2,acquiring,accepted PSS observation,1,1104.5897922400388,200000.0
scan-fw-0cac677f1231cad8,20000000,855,4,acquiring,no observation inside prediction gate,0,,
scan-fw-0cac677f1231cad8,20000000,856,0,acquiring,no observation inside prediction gate,0,,
scan-fw-0cac677f1231cad8,20000000,857,7,acquiring,accepted PSS observation,1,929.0571203028713,200000.0
scan-fw-0cac677f1231cad8,20000000,858,4,acquiring,no observation inside prediction gate,0,,
scan-fw-0cac677f1231cad8,20000000,859,6,acquiring,accepted PSS observation,1,954.9465903950079,200000.0
scan-fw-0cac677f1231cad8,20000000,860,7,acquiring,accepted PSS observation,2,918.2896611958524,141437.07660966623
scan-fw-0cac677f1231cad8,20000000,861,4,acquiring,accepted PSS observation,1,1182.2862251711338,200000.0
scan-fw-0cac677f1231cad8,20000000,862,4,coasting,no observation inside prediction gate,1,1833.799961971361,200004.91476605795
scan-fw-0cac677f1231cad8,20000000,863,4,coasting,no observation inside prediction gate,1,3044.1363414423377,200019.68965476356
scan-fw-0cac677f1231cad8,20000000,864,3,acquiring,accepted PSS observation,1,1075.1871672627328,200000.0
scan-fw-0cac677f1231cad8,20000000,865,4,lost,no observation inside prediction gate,0,,
scan-fw-0cac677f1231cad8,20000000,866,6,acquiring,accepted PSS observation,2,799.2272428375842,141506.64069788018
scan-fw-0cac677f1231cad8,20000000,867,2,acquiring,accepted PSS observation,1,1153.91415249938,200000.0
scan-fw-0cac677f1231cad8,20000000,869,3,acquiring,accepted PSS observation,2,968.3535552914853,141464.89949872898
scan-fw-0cac677f1231cad8,20000000,870,5,acquiring,no observation inside prediction gate,0,,
scan-fw-0cac677f1231cad8,20000000,872,0,acquiring,no observation inside prediction gate,0,,
scan-fw-0cac677f1231cad8,20000000,873,7,tracking,accepted PSS observation,3,987.8425799935824,116264.57236457794
scan-fw-0cac677f1231cad8,20000000,874,2,acquiring,accepted PSS observation,2,910.8618091790662,141506.71194361887
scan-fw-0cac677f1231cad8,20000000,875,0,lost,no observation inside prediction gate,0,,
scan-fw-0cac677f1231cad8,20000000,876,5,acquiring,no observation inside prediction gate,0,,
scan-fw-0cac677f1231cad8,20000000,881,6,tracking,accepted PSS observation,3,855.6128720557684,116759.23702617714
scan-fw-0cac677f1231cad8,20000000,883,2,tracking,accepted PSS observation,3,814.8496726820882,116062.94285604917
scan-fw-0cac677f1231cad8,20000000,885,7,tracking,accepted PSS observation,4,845.9440822773367,102545.6258747535
scan-fw-0cac677f1231cad8,20000000,887,3,tracking,accepted PSS observation,3,975.088048217429,117048.11540668442
scan-fw-0cac677f1231cad8,20000000,890,0,lost,no observation inside prediction gate,0,,
scan-fw-0cac677f1231cad8,20000000,891,6,tracking,accepted PSS observation,4,744.3714684347538,102693.61191273389
scan-fw-0cac677f1231cad8,20000000,892,3,tracking,accepted PSS observation,4,710.0298563678552,101890.14865775063
scan-fw-0cac677f1231cad8,20000000,893,3,tracking,accepted PSS observation,5,609.4055707657808,90984.31034836607
scan-fw-0cac677f1231cad8,20000000,894,7,tracking,accepted PSS observation,5,665.0531443996858,93712.58201692367
scan-fw-0cac677f1231cad8,20000000,896,2,tracking,accepted PSS observation,4,840.4049464631165,102476.71589475991
scan-fw-0cac677f1231cad8,20000000,897,5,lost,no observation inside prediction gate,0,,
scan-fw-0cac677f1231cad8,20000000,898,2,tracking,accepted PSS observation,5,677.6883461652394,91661.36290372902
scan-fw-0cac677f1231cad8,20000000,899,3,tracking,accepted PSS observation,6,610.4826178210631,84251.79475684247
scan-fw-0cac677f1231cad8,20000000,901,0,lost,no observation inside prediction gate,0,,
scan-fw-0cac677f1231cad8,20000000,902,6,tracking,accepted PSS observation,5,740.6258952072948,94545.718887289
scan-fw-0cac677f1231cad8,20000000,903,6,coasting,no observation inside prediction gate,5,765.4755285597093,95005.4090441159
