left_visit,right_visit,target_index,channel,overlapping_edge_group,split,left_start_counter,left_end_counter_exclusive,right_start_counter,right_end_counter_exclusive,gap_samples,all_four_sparse_acquisitions_pass,left_rx0_absolute_cfo_hz,left_rx1_absolute_cfo_hz,right_rx0_absolute_cfo_hz,right_rx1_absolute_cfo_hz,left_rx0_candidate_rank,left_rx1_candidate_rank,right_rx0_candidate_rank,right_rx1_candidate_rank
1150,1628,4,1,21,evaluation,493702865537,493704065537,494352322579,494353522579,648257042,True,115729.54244272364,797936.1630599694,75151.91854745062,722511.2523816393,0,0,1,1
1629,1645,4,1,22,evaluation,494353529969,494354729969,494375385623,494376585623,20655654,True,74717.67089587313,722048.2767407107,66462.95130528635,748501.9028296494,0,0,0,0
1646,1664,4,1,23,evaluation,494376591077,494377791077,494401662763,494402862763,23871686,True,65994.22647112387,713903.1338484741,56519.456876610784,705150.9873510492,1,0,2,0
1665,1670,4,1,24,development,494402870186,494404070186,494409683396,494410883396,5613210,True,56078.741740261,738076.5170572831,53441.44240403816,735538.0449358919,0,0,0,1
1672,1676,4,1,25,evaluation,494412087453,494413287453,494417952617,494419152617,4665164,True,52533.81165966147,735137.4484867335,84021.60782602284,766067.6698271926,0,0,0,0
1678,1706,4,1,26,evaluation,494420355402,494421555402,494458270843,494459470843,36715441,True,83157.55696187765,765249.3415964749,35544.420915272145,717634.6422334447,0,0,0,2
1707,1709,4,1,27,evaluation,494459475801,494460675801,494462287819,494463487819,1612018,True,35163.865985758835,717211.439639213,34111.64667632588,716222.0201520631,0,0,0,0
1710,1717,4,1,28,development,494463493416,494464693416,494472921103,494474121103,8227687,True,33700.30847163708,715800.1228608771,30272.66887871077,681879.8794590025,0,0,1,0
1718,1726,4,1,29,evaluation,494474125202,494475325202,494484946934,494486146934,9621732,True,29878.67335682042,681458.3073520227,26137.213427110284,678092.5887054875,2,0,2,0
1727,1729,4,1,30,evaluation,494486151984,494487351984,494488955704,494490155704,1603720,True,25703.349307958793,741838.3892206827,24755.000666920212,740867.3585768952,1,0,0,0
1730,1735,4,1,31,evaluation,494490162123,494491362123,494496980024,494498180024,5617901,True,24325.209657087573,740431.7442363317,21938.665495920402,738041.7291670006,0,0,0,0
1736,1744,4,1,32,development,494498183939,494499383939,494509211693,494510411693,9827754,True,21527.51713192108,703559.6209503618,17706.486396848457,734219.2281555734,0,0,0,0
1745,1747,4,1,33,evaluation,494510418762,494511618762,494513229941,494514429941,1611179,True,17315.585914109834,699366.0489273416,16397.641996712424,698426.4227247457,0,0,0,0
1748,1768,4,1,34,evaluation,494514436401,494515636401,494541521981,494542721981,25885580,True,15966.044715086115,697980.2569204438,6875.720015271392,688951.4736436636,1,0,0,0
