session_id,capture_start_utc_ns,sample_rate_msps,prior,selected_error_km,search_complete,selected_spacing_km,selection_rmse_hz
scan-fw-1a289c5393338d02,1790160042311035892,15.0,reno,10.845799284926882,False,12.5,97.04995499632858
scan-fw-9b88653c7a012fc2,1790160629393501524,10.0,sacramento,5.791425248999643,False,12.5,143.08623004845927
scan-fw-9b88653c7a012fc2,1790160629393501524,10.0,reno,18.905129319097618,False,12.5,137.75054291837117
scan-fw-c8209a68d93c2e0e,1790161216023768009,10.0,sacramento,22.29598229320849,False,12.5,179.1645077238355
scan-fw-c8209a68d93c2e0e,1790161216023768009,10.0,reno,22.464316785452084,False,25.0,181.72791082966435
scan-fw-79e19897efa19e08,1790161846175995872,10.0,sacramento,33.32347846921546,False,12.5,139.93545251451806
scan-fw-79e19897efa19e08,1790161846175995872,10.0,reno,46.774919608729604,False,12.5,166.38306573241996
scan-fw-b9ba02c32b6b069d,1790162401936751781,10.0,sacramento,5.791425248999643,False,12.5,96.37276983155444
scan-fw-b9ba02c32b6b069d,1790162401936751781,10.0,reno,18.905129319097618,False,12.5,103.32298104490454
scan-fw-630f8fea7d721f2d,1790163026712593428,15.0,sacramento,6.525495158717486,False,25.0,168.48967668181766
scan-fw-630f8fea7d721f2d,1790163026712593428,15.0,reno,4.999001983889371,False,25.0,166.48703412560064
scan-fw-ad5e032be95f3517,1790163622172161924,15.0,sacramento,6.719037076702814,False,12.5,119.6519401834522
scan-fw-ad5e032be95f3517,1790163622172161924,15.0,reno,4.999001983889371,False,25.0,111.80872154141495
scan-fw-9f83ef1d60891348,1790164243655653836,2.5,sacramento,31.46787088895969,False,25.0,228.94941908365368
scan-fw-9f83ef1d60891348,1790164243655653836,2.5,reno,26.151357714794596,False,12.5,230.74952392909583
scan-fw-fe55e23ce5b8766b,1790164802344297265,2.5,sacramento,5.791425248999643,False,12.5,114.76894095744943
scan-fw-fe55e23ce5b8766b,1790164802344297265,2.5,reno,3.994480913390877,False,12.5,109.6809443525393
scan-fw-af2334201f942918,1790165401779236142,10.0,sacramento,23.06468411812861,False,12.5,124.45797322395866
scan-fw-af2334201f942918,1790165401779236142,10.0,reno,4.999001983889371,False,25.0,122.64421547697742
scan-fw-997c13bb48dab8e9,1790166021129460929,15.0,sacramento,33.32347846921546,False,12.5,121.3389000636628
scan-fw-997c13bb48dab8e9,1790166021129460929,15.0,reno,711.2093085390932,False,12.5,111.72938094651845
scan-fw-f7f5b17028c5f6d0,1790166602053635092,10.0,sacramento,5.791425248999643,False,12.5,109.41197073627953
scan-fw-f7f5b17028c5f6d0,1790166602053635092,10.0,reno,10.845799284926882,False,12.5,109.24976085904342
scan-fw-18759ae038156e36,1790167229059389112,2.5,sacramento,6.525495158717486,False,25.0,116.58555853416736
scan-fw-18759ae038156e36,1790167229059389112,2.5,reno,4.999001983889371,False,25.0,116.09227939384476
scan-fw-a18addb1c69e19b2,1790167801987746172,15.0,sacramento,25.383471500193455,False,25.0,117.11709080680103
scan-fw-a18addb1c69e19b2,1790167801987746172,15.0,reno,22.464316785452084,False,25.0,113.44196860589058
scan-fw-d352efe575e96330,1790168402262832524,15.0,sacramento,6.719037076702814,False,12.5,102.57066911815514
scan-fw-d352efe575e96330,1790168402262832524,15.0,reno,4.999001983889371,False,25.0,110.68020988121252
scan-fw-84d5c5db865ccebd,1790169046695474012,10.0,sacramento,39.81970108085268,False,12.5,183.07526384512275
scan-fw-84d5c5db865ccebd,1790169046695474012,10.0,reno,36.37861484598715,False,12.5,202.5277356178162
scan-fw-ac8c1d9105140404,1790169628179007466,2.5,sacramento,33.32347846921546,False,12.5,176.27641199492462
scan-fw-ac8c1d9105140404,1790169628179007466,2.5,reno,30.159412116422683,False,12.5,173.3340374061492
scan-fw-9a10ab698717f70d,1790170202226773109,2.5,sacramento,287.8144172099054,False,12.5,243.79555324157198
scan-fw-9a10ab698717f70d,1790170202226773109,2.5,reno,4.999001983889371,False,25.0,134.06309878187943
scan-fw-55ba04c1ea8e1d02,1790170802069095338,15.0,sacramento,84.78281303480824,False,12.5,156.89183782579815
scan-fw-55ba04c1ea8e1d02,1790170802069095338,15.0,reno,653.8856562610164,False,12.5,109.66786716715491
scan-fw-1b15e6832092ecd3,1790171402016737372,10.0,sacramento,31.18145751870322,False,12.5,150.53793469717203
scan-fw-1b15e6832092ecd3,1790171402016737372,10.0,reno,3.994480913390877,False,12.5,106.84770536065956
scan-fw-ef23302fda59d403,1790172002099095837,15.0,sacramento,33.99295459877326,False,12.5,154.18305903897982
scan-fw-ef23302fda59d403,1790172002099095837,15.0,reno,37.16370798097698,False,12.5,164.2896001028652
