window_id,scan_count,elapsed_span_seconds,summed_nominal_capture_seconds,method,latitude_deg,longitude_deg,error_km,reserved_capped800_rmse_hz,reserved_uncapped_rmse_hz
single_300s_001,1,300.0,300,capped800,37.80807585000421,-122.38129371224045,10.234786028014893,204.39448509880697,204.39448509880697
single_300s_001,1,300.0,300,pseudo_huber_150hz,37.810104143018044,-122.38148923812508,10.12080229567528,204.4307553126112,204.4307553126112
single_300s_001,1,300.0,300,regularized_timing_1000,37.80954330622606,-122.38212533889411,10.09732599986239,205.56330238020368,205.56330238020368
about_1h_001,6,3272.008731,1800,capped800,37.81247639621382,-122.39101395222858,9.252485047730545,141.4473183147679,141.4473183147679
about_1h_001,6,3272.008731,1800,pseudo_huber_150hz,37.81662496335327,-122.39549408396914,8.699512676408677,145.16069179394376,145.16069179394376
about_1h_001,6,3272.008731,1800,regularized_timing_1000,37.81517323459273,-122.39460007283404,8.838652351127523,144.12908842228117,144.12908842228117
about_3h_001,18,10472.085245,5400,capped800,37.800413866254154,-122.42349187426788,7.683519341297014,146.07595873227555,154.98675342736803
about_3h_001,18,10472.085245,5400,pseudo_huber_150hz,37.83896214506274,-122.47766240649437,1.321507878232605,147.25238290696998,157.3681616003532
about_3h_001,18,10472.085245,5400,regularized_timing_1000,37.819580178675345,-122.40012537496831,8.194103160062065,144.38728025268017,153.69219036572045
about_8h_001,48,28478.3825,14400,capped800,37.79453976216439,-122.34658674155084,13.635357373353779,168.30862951838688,193.0575763828642
about_8h_001,48,28478.3825,14400,pseudo_huber_150hz,37.818227639819426,-122.43018131647908,5.955384099549702,167.53631805946415,187.43998466069883
about_8h_001,48,28478.3825,14400,regularized_timing_1000,37.797611089373845,-122.34788659010736,13.383518612560426,166.9399810545064,187.4875208938704
