candidate_rx1_minus_rx0_phase_deg,signed_coherence,normalized_prediction_error,ordinary_coherence_magnitude
-180,0.0481039730781,1.01369675861,0.221005999235
-179.75,0.0471623172938,1.01390203747,0.221005999235
-179.5,0.046219763607,1.01410747045,0.221005999235
-179.25,0.0452763299624,1.01431305355,0.221005999235
-179,0.0443320343218,1.01451878278,0.221005999235
-178.75,0.0433868946632,1.01472465412,0.221005999235
-178.5,0.0424409289807,1.01493066357,0.221005999235
-178.25,0.041494155284,1.01513680713,0.221005999235
-178,0.0405465915984,1.01534308079,0.221005999235
-177.75,0.0395982559642,1.01554948055,0.221005999235
-177.5,0.0386491664363,1.0157560024,0.221005999235
-177.25,0.0376993410839,1.01596264233,0.221005999235
-177,0.0367487979904,1.01616939634,0.221005999235
-176.75,0.0357975552528,1.01637626043,0.221005999235
-176.5,0.0348456309814,1.01658323059,0.221005999235
-176.25,0.0338930432993,1.01679030281,0.221005999235
-176,0.0329398103426,1.0169974731,0.221005999235
-175.75,0.0319859502593,1.01720473745,0.221005999235
-175.5,0.0310314812097,1.01741209186,0.221005999235
-175.25,0.0300764213654,1.01761953233,0.221005999235
-175,0.0291207889094,1.01782705486,0.221005999235
-174.75,0.0281646020355,1.01803465543,0.221005999235
-174.5,0.0272078789483,1.01824233007,0.221005999235
-174.25,0.0262506378622,1.01845007477,0.221005999235
-174,0.0252928970018,1.01865788553,0.221005999235
-173.75,0.0243346746011,1.01886575835,0.221005999235
-173.5,0.0233759889033,1.01907368925,0.221005999235
-173.25,0.0224168581604,1.01928167423,0.221005999235
-173,0.0214573006328,1.0194897093,0.221005999235
-172.75,0.0204973345891,1.01969779046,0.221005999235
-172.5,0.0195369783057,1.01990591374,0.221005999235
-172.25,0.0185762500664,1.02011407513,0.221005999235
-172,0.0176151681621,1.02032227067,0.221005999235
-171.75,0.0166537508904,1.02053049635,0.221005999235
-171.5,0.0156920165553,1.02073874821,0.221005999235
-171.25,0.0147299834668,1.02094702226,0.221005999235
-171,0.0137676699406,1.02115531453,0.221005999235
-170.75,0.0128050942978,1.02136362104,0.221005999235
-170.5,0.0118422748645,1.02157193781,0.221005999235
-170.25,0.0108792299714,1.02178026088,0.221005999235
-170,0.00991597795343,1.02198858627,0.221005999235
-169.75,0.00895253714951,1.02219691002,0.221005999235
-169.5,0.0079889259022,1.02240522817,0.221005999235
-169.25,0.00702516255724,1.02261353676,0.221005999235
-169,0.00606126546332,1.02282183181,0.221005999235
-168.75,0.00509725297165,1.02303010939,0.221005999235
-168.5,0.00413314343562,1.02323836554,0.221005999235
-168.25,0.0031689552105,1.0234465963,0.221005999235
-168,0.00220470665304,1.02365479772,0.221005999235
-167.75,0.00124041612115,1.02386296587,0.221005999235
-167.5,0.000276101973517,1.02407109681,0.221005999235
-167.25,-0.000688217430697,1.02427918658,0.221005999235
-167,-0.00165252373224,1.02448723126,0.221005999235
-166.75,-0.00261679857212,1.02469522692,0.221005999235
-166.5,-0.00358102359192,1.02490316962,0.221005999235
-166.25,-0.0045451804342,1.02511105544,0.221005999235
-166,-0.00550925074279,1.02531888046,0.221005999235
-165.75,-0.00647321616319,1.02552664076,0.221005999235
-165.5,-0.00743705834289,1.02573433243,0.221005999235
-165.25,-0.00840075893171,1.02594195155,0.221005999235
-165,-0.00936429958219,1.02614949421,0.221005999235
-164.75,-0.0103276619499,1.02635695652,0.221005999235
-164.5,-0.0112908276938,1.02656433457,0.221005999235
-164.25,-0.0122537784767,1.02677162447,0.221005999235
-164,-0.0132164959652,1.02697882232,0.221005999235
-163.75,-0.0141789618308,1.02718592424,0.221005999235
-163.5,-0.0151411577493,1.02739292634,0.221005999235
-163.25,-0.016103065402,1.02759982475,0.221005999235
-163,-0.0170646664756,1.02780661558,0.221005999235
-162.75,-0.0180259426625,1.02801329497,0.221005999235
-162.5,-0.0189868756614,1.02821985905,0.221005999235
-162.25,-0.0199474471776,1.02842630397,0.221005999235
