sample_index,time_s,raw_phase_deg,compensated_common_band_phase_deg,raw_rx0_abs,raw_rx1_abs,common_rx0_abs,common_rx1_abs
72536,0.0290144,102.825668335,27.1242888825,87.4642868042,48.8262214661,76.7230745496,57.0698555248
72537,0.0290148,32.7418327332,169.520732504,42.4381904602,135.059234619,42.4437311546,46.0646108669
72538,0.0290152,65.4617004395,-1.89997926209,114.42464447,157.257751465,91.5589077923,93.5296319865
72539,0.0290156,-160.346160889,-99.390075233,132.966171265,69.318107605,128.471939103,66.9439693201
72540,0.029016,-45.3469810486,129.021713459,57.7061538696,97.1236343384,102.113058974,83.1503205611
72541,0.0290164,-11.1405849457,136.426217387,174.07182312,44.5982055664,77.192844692,72.4392132286
72542,0.0290168,-117.556442261,86.6778736758,112.641021729,129.417922974,92.9577064597,61.3599525735
72543,0.0290172,87.4130935669,133.289036963,236.315475464,21.0950222015,118.351143384,54.1305230532
72544,0.0290176,32.6934661865,135.574668755,114.140258789,67.8969802856,102.224925908,69.2647876532
72545,0.029018,-151.977584839,102.993381183,113.110565186,96.3846435547,40.8422279317,77.8408162829
72546,0.0290184,-172.540496826,179.356289484,71.7844009399,122.539787292,36.1286458748,103.689032196
72547,0.0290188,-22.2580986023,59.1827476055,36.0555114746,73.6613845825,40.9953993719,103.302206133
72548,0.0290192,-174.140838623,-39.0389271867,140.918411255,168.573425293,113.236594694,95.2348459173
72549,0.0290196,-84.9265441895,-90.0957736776,135.118469238,121.852371216,94.8231408874,108.565589764
72550,0.02902,-2.17278122902,-100.688064248,140.51335144,42.0475959778,78.5642218492,44.5359767673
72551,0.0290204,43.0392875671,-144.605016445,68.5419616699,103.121284485,61.1204022226,94.7021650455
72552,0.0290208,-63.6650505066,140.572984714,92.4770202637,120.41594696,126.868009407,103.965762511
72553,0.0290212,-152.489959717,166.714542848,59.4390449524,108.577156067,25.156134545,91.605513459
72554,0.0290216,12.275800705,56.73983846,196.786682129,83.0060272217,200.41537083,100.296667718
72555,0.029022,-38.7769775391,121.62423513,98.6813049316,95.1892852783,85.6614756574,70.9006458633
72556,0.0290224,88.0073471069,-4.71495940101,167.73789978,116.931610107,166.687060649,64.7384838132
72557,0.0290228,160.701828003,139.07911772,154.402069092,146.823028564,61.4357861788,188.416749856
72558,0.0290232,-178.848800659,-162.745541481,93.3916473389,126.846359253,114.125863641,81.1136472318
72559,0.0290236,109.085258484,-117.654890057,162.049377441,215.603790283,70.6865537523,170.471224155
72560,0.029024,132.949981689,23.9453742702,68.4470596313,91.836807251,66.5315798119,127.775222128
72561,0.0290244,124.966049194,156.499516347,171.493438721,113.877128601,161.341246514,77.9511319389
72562,0.0290248,97.1934661865,-168.94857014,40.8166618347,71.2179718018,65.8810591295,84.0774231145
72563,0.0290252,-41.2717819214,117.829764286,117.711509705,93.8615951538,72.8930337871,55.875602829
72564,0.0290256,-72.6191253662,-179.212427731,72.4706802368,112.4322052,45.5434171447,72.5881912012
72565,0.029026,-29.3157920837,58.6243979288,206.496963501,60.8769226074,165.805349037,50.2254319219
72566,0.0290264,107.567901611,-114.970316946,31.9061126709,17.0293865204,83.9572837142,46.8691545756
72567,0.0290268,-133.068466187,70.0203967116,223.778915405,121.593582153,163.347986391,123.676897805
72568,0.0290272,151.058425903,60.7283405009,48.373550415,140.459960938,72.7637839989,122.981660965
72569,0.0290276,-158.259216309,154.406610846,39.4588394165,40.0249900818,83.5533252618,47.0332113585
72570,0.029028,-90.3976669312,76.093683753,69.5844802856,80.7527084351,66.3728468759,41.729805983
72571,0.0290284,119.830543518,-20.8648281586,116.520385742,91.836807251,78.7311487472,115.838722576
72572,0.0290288,-159.557510376,-25.7842806934,52.8109855652,175.547714233,38.586375771,159.902674933
72573,0.0290292,-157.996871948,122.623565597,13.3416633606,83.0240936279,64.8802777195,91.3005883135
72574,0.0290296,166.340942383,147.945672927,59.5483016968,148.485702515,18.3733172871,108.026409762
72575,0.02903,-176.953323364,156.589635077,138.462997437,83.4326171875,71.6967770075,95.3852295806
72576,0.0290304,155.954910278,72.4187023661,90.2108612061,125.717941284,44.6248274603,117.979553798
72577,0.0290308,7.45320701599,163.629061254,112.680969238,73.4098052979,48.6593474934,44.8798665978
72578,0.0290312,96.503112793,-49.8254348792,39.5600776672,115.836090088,26.0397743091,109.87210587
72579,0.0290316,111.370613098,-33.9654357801,41.2310562134,101.833206177,35.852543918,95.8730220053
72580,0.029032,46.2286109924,141.082073854,146.112976074,69.0651855469,107.065411721,47.7519358181
72581,0.0290324,102.087028503,-138.957749109,154.828948975,167.3618927,106.292472793,165.541324777
72582,0.0290328,80.8442459106,-64.8148418723,60.7453689575,136.565002441,57.4604370066,134.986509802
72583,0.0290332,-1.62365555763,-13.8405572295,104.737762451,82.2192230225,133.983811679,54.3216375852
72584,0.0290336,30.2399978638,109.90337793,173.902282715,216.416259766,132.684000756,145.54992065
72585,0.029034,-27.711101532,76.87341598,165.58380127,53.3385429382,194.195214868,91.5014233813
72586,0.0290344,-63.9857063293,-161.415905201,190.097351074,54.3323135376,165.853385962,162.393853281
72587,0.0290348,154.985214233,-167.271673615,52.2015342712,218.497131348,57.6101020505,141.889023346
72588,0.0290352,-103.841339111,20.1979285101,37.8549880981,97.9438552856,40.2692921704,65.8221989357
72589,0.0290356,-93.9459533691,131.738385783,43.908996582,115.831771851,46.1092812733,104.47668078
72590,0.029036,19.7258758545,78.1661861181,138.397979736,28.6007003784,106.385805782,37.9873531997
72591,0.0290364,-123.534561157,-10.4755213047,46.6476135254,192.78225708,51.0159173227,115.553453973
72592,0.0290368,-80.7628631592,-14.6683148278,130.942733765,20.1246128082,93.9035150879,104.152928584
72593,0.0290372,-156.942352295,140.020775715,40.311290741,123.130012512,119.722721446,85.2927397021
72594,0.0290376,-170.622344971,139.340892504,267.088012695,114.109596252,180.447493383,128.559257761
