exact_rank,latitude_deg,longitude_deg,balanced_proposal_objective,balanced_exact_capped_loss,group_00_tau_s,group_00_exact_capped_loss,group_16_tau_s,group_16_exact_capped_loss
1,37.86086010564022,-122.481740327491,0.21664848716588925,0.05825068675390102,-0.75,0.03899473277464773,-0.75,0.07750664073315432
2,37.85383416609064,-122.48174371907561,0.21698432925862293,0.05834978032973147,-1.0,0.03955423143393036,-0.5,0.07714532922553258
3,37.84680822654087,-122.48174710965702,0.2177021529647682,0.05838031144940966,-1.0,0.03941187796591504,-0.75,0.07734874493290428
4,37.86085709392776,-122.47284114159169,0.2166197170012109,0.05838314958309409,-0.75,0.03940265563494551,-0.5,0.07736364353124267
5,37.85383650818731,-122.49064205772527,0.21679670846685245,0.058400977581400726,-1.0,0.0392834654945206,-1.0,0.07751848966828084
6,37.86788604518959,-122.48173693490287,0.21669304708081527,0.05847555699127378,-0.75,0.03924858072214184,-0.75,0.07770253326040573
7,37.867888387979356,-122.49063696959522,0.21713404053085716,0.05875605097277206,-1.0,0.039850427737415435,-1.0,0.0776616742081287
8,37.87491432787521,-122.49063442440088,0.21782091099252449,0.05900682653923928,-1.0,0.04016943109086089,-1.0,0.07784422198761766
