session_id,rx0_tracklet_id,rx1_tracklet_id,review_agreement,rx0_stored_id,rx1_stored_id,joint_best_id,joint_runner_id,joint_best_train_rms_hz,joint_best_evaluation_rms_hz,joint_runner_train_rms_hz,joint_runner_evaluation_rms_hz,shared_tau_s,later_session,rx0_geometry,rx1_geometry,geometry_evidence,identity_claimed,geometry_rejects_candidate
scan-hop-04659e64a57981df,sha256:b41f4794dd4a335aa296fa7e3626608b30844c91405df9c147b7256c85f8a047,sha256:8f22259a643b2c6c9dee30e90d18bbd8e1539c1a298db01b76a7be3ad215051e,unreviewed-side,,66575,66575,56003,137.59827409322963,62.37986869337527,209.36359579438152,209.100708921419,-4.0,False,unsupported,supports-joint-leader,supports-joint-leader,False,False
scan-hop-04659e64a57981df,sha256:c68838fc692ee8dc6d7015137dec11e27d841499ba9b7d025814997cd40e6eae,sha256:2d70b07059c12308c85252720c99c4b6539a6d7c2a21ba2adc2fbb031b1c89d5,different-leader,64762,66599,66599,64762,100.10326380015923,545.6159663924017,412.89890865991913,542.9606815029423,-5.0,False,supports-joint-runner,supports-joint-runner,supports-joint-runner,False,False
scan-hop-04659e64a57981df,sha256:d1a2afdc40ff7882adfda4bc74bc67651093228b7cefc43ea5a9da8b01d72c4f,sha256:71b2fb08e1c55ed7d7bb72eab6fa6f20d40ee4582dd0d78c9cc8bdf596b0b7f5,same-leader,66601,66601,66601,63446,146.18835929330868,144.07531869077764,834.866284467571,900.8613134829675,-2.0,False,supports-joint-runner,supports-joint-runner,supports-joint-runner,False,False
scan-hop-04659e64a57981df,sha256:d5d76ef2ab40911e45f3aa9112c18a71f59f295b2eac2e63f9789ea25da9195c,sha256:e7a0917343ef6fa92078840a443fdd87feb300cc85ff4e212a4c520bfbada052,same-leader,66575,66575,66575,56003,146.07683555378603,127.32754188916782,340.02929065027666,317.9356659150978,-5.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
scan-hop-06f6cbf16f6c5563,sha256:4dd4a429d15ee8a0cab32bd9e832708d32a65d8961974feb628cabcd2abde92a,sha256:c1af75c660d1d9aa5835ef87c94d0398b89298bfc8169608d8513d6a3373e8a3,same-leader,57909,57909,57909,48574,122.57714416590152,116.02125543509818,653.507222873797,784.1028906771182,0.0,False,unsupported,uncertain,unsupported-or-uncertain,False,False
scan-hop-06f6cbf16f6c5563,sha256:6b11bf9b7cc02bef12876e2f11bd2094bf3ef6e1b188e80525767b25141ea9f4,sha256:91c454555b5e872bc1cb40fc07c6300f00c5709870829507f12be4e902ddc097,unreviewed-side,,53262,53262,55374,85.07387429758779,81.60459007093937,91.41289964027558,94.24830385893661,3.0,False,unsupported,supports-joint-leader,supports-joint-leader,False,False
scan-hop-06f6cbf16f6c5563,sha256:9d9d87ab57d1868ee36ff70bf4520257a5c8c8f4c64973a74e8017dceb36ae7e,sha256:221929340bd2c5546e0555394d5fe6974672110915fcdff37025413c78b2c47b,unreviewed-side,,66111,66111,64067,95.93474985924894,99.74933924324637,581.1339965002344,568.1008821810065,-1.0,False,unsupported,supports-joint-leader,supports-joint-leader,False,False
scan-hop-06f6cbf16f6c5563,sha256:a04c18877e4963524af33d6bd3279b34c7e3f9a4085c1f2569ad0ef222925692,sha256:fa7703d3d94dce21dccee85013cff4e254a991fa344c9daa757a1e77254a9cc6,same-leader,63677,63677,63677,55372,92.17907219592361,100.85877270183526,251.65118072230416,247.0570861056179,0.0,False,supports-joint-runner,supports-joint-runner,supports-joint-runner,False,False
scan-hop-06f6cbf16f6c5563,sha256:bf603075ccce6d330ed81bb676a512399c7f4b556e25580b05036b43db419efa,sha256:a1db4fd426bb99c0e93d7cff646d54e09ed8b8f3e91f2270fac02954ca126f31,same-leader,67203,67203,67203,57241,117.0832383651534,165.01257869849047,533.6170786109554,636.0613816460993,0.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
scan-hop-09d72b8f81edd530,sha256:07605f1788bc2f436b5a091df765c69a18e562bef0de8b4456f5870cdb6f0b78,sha256:a57f062d3fe1d1725adbb684f753c8ae2f63a13f50645b8c142571a8cbc44996,unreviewed-side,,,,,,,,,,False,unsupported,unsupported,unsupported-or-uncertain,False,False
scan-hop-09d72b8f81edd530,sha256:1c868c1b7657f6a30cfae4a5b241ab189bb0649c216d3ced622ab124943ea8f9,sha256:9d4e78849cc68b6b06a99a9b28c7d253773cbecf44d99e6dd26fbdc302eb3b2b,same-leader,67890,67890,67890,57128,89.905048286338,137.3459091282439,1717.4297120141882,2086.4371585432664,-1.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
scan-hop-09d72b8f81edd530,sha256:1c9511c8ee3895a8238184b6499766e6897588bb423803564fe3b47fea9cb2ea,sha256:768fc43fff2de58306d6cec40bfc9cd7f2856b11eda4d1ac1e58fc9c1f7d7168,same-leader,66494,66494,66494,68315,120.1232594229594,129.9429538470801,699.9387532901416,621.7713875522255,-1.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
scan-hop-09d72b8f81edd530,sha256:36200a03a839696c2fa4b7c4c0d481ac957805a9f3342f80318b60ac3414bae1,sha256:e267d9e072f9c2375b0af2e633223a5c7b0c4a2e8a146f97825d851f0f61b907,different-leader,61534,66570,66570,61534,89.35600870401399,102.72269965287705,256.17155194259175,299.2575035129848,-1.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
scan-hop-09d72b8f81edd530,sha256:3f6b5dc43dc33dae39421b3260081dfb561f154064db4ca3e5f18a504366ada3,sha256:1ce2200a9933a1f022eaab923cfaf9d0695632e43fe2502293c068ea6390cf43,same-leader,67890,67890,67890,57128,81.99002836166909,87.74074692249921,2036.4818068968777,1853.710183273535,-1.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
scan-hop-09d72b8f81edd530,sha256:79416850df49f48344e72dd162987faa0ec18b95fb781d5cda581f1e5c86e4e3,sha256:ab4dcf82e32256e9e7aeb833ca8dcdbc4d8c99482f997d96b619abbe7bb2fa7b,different-leader,68074,100475,100475,68074,123.28762532294219,645.8211622226053,128.57643743630885,858.788202743592,-2.0,False,uncertain,uncertain,unsupported-or-uncertain,False,False
scan-hop-09d72b8f81edd530,sha256:812248387789b90428c0eaed5574b54fb31a99717902f09e1d1933f2619cdc92,sha256:85e2239585d9ebd85df845c3ee62881c92175241ee3c607fd9bce7050a8619e4,same-leader,66509,66509,66509,66544,130.72640741179575,158.25723237083784,1512.661766335868,1692.4881544360449,-2.0,False,supports-joint-runner,supports-joint-runner,supports-joint-runner,False,False
scan-hop-09d72b8f81edd530,sha256:8d4e45a46fb806f4ea536581369d9d90bfc10f2e93314e1d48ead18c7db81a54,sha256:8e332aaa80e1a0ba2664716981cc4cf1cc41ba709c7774ea3469e78f18e1f99c,different-leader,57871,55368,55368,59857,1809.875954842277,2021.417810973195,2068.3602961167903,2345.8448787551556,5.0,False,unsupported,supports-joint-runner,supports-joint-runner,False,False
scan-hop-09d72b8f81edd530,sha256:a602d5ab74cf7da3d6e3dafea061123c955f356bb5ae491b36ea993fd0353c6a,sha256:b2a9322ffb76252a5e0ae2c7405a0efdb678ed7a63b31c6ff59c28ae3f374bde,same-leader,66494,66494,66494,68315,112.31463495715757,117.90598516481928,458.20070930528914,550.5255759173006,-1.0,False,supports-joint-leader,supports-joint-leader,supports-joint-leader,False,False
scan-hop-09d72b8f81edd530,sha256:bbc3b833da20ada8a0c1d80b02cf08b259c6d1242d8716e01a203b127af59f43,sha256:327b8be23ad5789938baceb32f5a7d94fda3292cc6fda6df59a58ca4a4ef68a3,same-leader,68074,68074,68074,62516,126.86589576110416,109.60043524425699,2667.9853533144333,2719.2110267553517,-2.0,False,supports-joint-runner,supports-joint-runner,supports-joint-runner,False,False
