joint_state,session_id,rx0_tracklet_id,rx1_tracklet_id,review_agreement,distinct_paired_visits,rx0_stored_top_id,rx1_stored_top_id,joint_best_number,joint_runner_up_number,joint_train_leader_persisted,joint_best_eval_rms_hz,joint_runner_eval_rms_hz,rx0_individual_best,rx1_individual_best
scored,scan-hop-06f6cbf16f6c5563,sha256:9d9d87ab57d1868ee36ff70bf4520257a5c8c8f4c64973a74e8017dceb36ae7e,sha256:221929340bd2c5546e0555394d5fe6974672110915fcdff37025413c78b2c47b,unreviewed-side,3,,66111,66111,64067,True,99.74933924324637,568.1008821810065,66111,66111
scored,scan-hop-06f6cbf16f6c5563,sha256:a04c18877e4963524af33d6bd3279b34c7e3f9a4085c1f2569ad0ef222925692,sha256:fa7703d3d94dce21dccee85013cff4e254a991fa344c9daa757a1e77254a9cc6,same-leader,21,63677,63677,63677,55372,True,100.85877270183526,247.0570861056179,63677,63677
scored,scan-hop-06f6cbf16f6c5563,sha256:bf603075ccce6d330ed81bb676a512399c7f4b556e25580b05036b43db419efa,sha256:a1db4fd426bb99c0e93d7cff646d54e09ed8b8f3e91f2270fac02954ca126f31,same-leader,7,67203,67203,67203,57241,True,165.01257869849047,636.0613816460993,67203,67203
unsupported-empty-candidate-union,scan-hop-09d72b8f81edd530,sha256:07605f1788bc2f436b5a091df765c69a18e562bef0de8b4456f5870cdb6f0b78,sha256:a57f062d3fe1d1725adbb684f753c8ae2f63a13f50645b8c142571a8cbc44996,unreviewed-side,3,,,,,False,,,,
scored,scan-hop-09d72b8f81edd530,sha256:1c868c1b7657f6a30cfae4a5b241ab189bb0649c216d3ced622ab124943ea8f9,sha256:9d4e78849cc68b6b06a99a9b28c7d253773cbecf44d99e6dd26fbdc302eb3b2b,same-leader,19,67890,67890,67890,57128,True,137.3459091282439,2086.4371585432664,67890,67890
scored,scan-hop-09d72b8f81edd530,sha256:1c9511c8ee3895a8238184b6499766e6897588bb423803564fe3b47fea9cb2ea,sha256:768fc43fff2de58306d6cec40bfc9cd7f2856b11eda4d1ac1e58fc9c1f7d7168,same-leader,22,66494,66494,66494,68315,True,129.9429538470801,621.7713875522255,66494,66494
scored,scan-hop-09d72b8f81edd530,sha256:36200a03a839696c2fa4b7c4c0d481ac957805a9f3342f80318b60ac3414bae1,sha256:e267d9e072f9c2375b0af2e633223a5c7b0c4a2e8a146f97825d851f0f61b907,different-leader,5,61534,66570,66570,61534,True,102.72269965287705,299.2575035129848,66570,66570
scored,scan-hop-09d72b8f81edd530,sha256:3f6b5dc43dc33dae39421b3260081dfb561f154064db4ca3e5f18a504366ada3,sha256:1ce2200a9933a1f022eaab923cfaf9d0695632e43fe2502293c068ea6390cf43,same-leader,22,67890,67890,67890,57128,True,87.74074692249921,1853.710183273535,67890,67890
scored,scan-hop-09d72b8f81edd530,sha256:79416850df49f48344e72dd162987faa0ec18b95fb781d5cda581f1e5c86e4e3,sha256:ab4dcf82e32256e9e7aeb833ca8dcdbc4d8c99482f997d96b619abbe7bb2fa7b,different-leader,6,68074,100475,100475,68074,True,645.8211622226053,858.788202743592,68074,100475
scored,scan-hop-09d72b8f81edd530,sha256:812248387789b90428c0eaed5574b54fb31a99717902f09e1d1933f2619cdc92,sha256:85e2239585d9ebd85df845c3ee62881c92175241ee3c607fd9bce7050a8619e4,same-leader,20,66509,66509,66509,66544,True,158.25723237083784,1692.4881544360449,66509,66509
