session_id,visit,sample_rate_msps,state,supported,tracked_coherence,wrong_pair_coherence,band_phase_resultant,conditional_composite_log_factor,applied_phase_log_factor,shared_candidate_weights_equal,link_score_state,reason
scan-fw-1aa1d50103d97388,1642,2.5,replayed,False,0.09355192191354036,0.01636318373665881,0.576523178269696,-0.3567503041275275,0.0,True,supported,
scan-fw-1aa1d50103d97388,1646,2.5,abstained,False,,,,,,,,ValueError: ambiguous local phase increment near pi
scan-fw-1aa1d50103d97388,1659,2.5,replayed,False,0.10167382653251641,0.01818650699566836,0.6590323852968888,0.23934491436594163,0.0,True,supported,
scan-fw-1aa1d50103d97388,1667,2.5,replayed,False,0.11031361901411305,0.019789867943269538,0.6821834441019119,0.6415623630621532,0.0,True,supported,
scan-fw-1aa1d50103d97388,544,2.5,replayed,True,0.13120761706993844,0.010064103450823857,0.9233700206606362,3.7971389282913264,3.7971389282913264,True,supported,
scan-fw-1aa1d50103d97388,569,2.5,replayed,True,0.12131901785725566,0.0024948524544937227,0.899123093800836,3.2744506580176282,3.2744506580176282,True,supported,
scan-fw-1aa1d50103d97388,2138,2.5,abstained,False,,,,,,,,ValueError: No A-band support for response normalization
scan-fw-1aa1d50103d97388,1464,2.5,replayed,False,0.05444261210957744,0.04259936249177429,0.21431697606779207,0.0,0.0,True,abstained,
scan-fw-9b88653c7a012fc2,855,10.0,replayed,True,0.11622578787403455,0.0026550102754843074,0.9867308707846065,4.560979845715645,4.560979845715645,True,supported,
scan-fw-9b88653c7a012fc2,859,10.0,replayed,True,0.12247311106265207,0.004603829565971306,0.9865431954364325,4.554406798373385,4.554406798373385,True,supported,
scan-fw-9b88653c7a012fc2,890,10.0,replayed,False,0.06275966034974316,0.03609809692558695,0.4724128321573985,0.0,0.0,True,abstained,
scan-fw-9b88653c7a012fc2,54,10.0,replayed,True,0.07549903517322053,0.0025748912745559398,0.8496829624346826,2.8360525129876626,2.8360525129876626,True,supported,
scan-fw-9b88653c7a012fc2,760,10.0,replayed,True,0.14765073003139967,0.001534154340950014,0.9906341697505859,4.612687591084409,4.612687591084409,True,supported,
scan-fw-9b88653c7a012fc2,768,10.0,replayed,True,0.12470384828079324,0.003077118923947223,0.9916039122654394,4.599283893957689,4.599283893957689,True,supported,
scan-fw-9b88653c7a012fc2,758,10.0,replayed,True,0.18142855873108318,0.0009429519829977224,0.9920286485682952,4.628868417322064,4.628868417322064,True,supported,
scan-fw-9b88653c7a012fc2,717,10.0,replayed,True,0.263501514126143,0.0010724912481971784,0.997281279194393,4.692445084661889,4.692445084661889,True,supported,
scan-fw-894676bdae3d7b2c,672,15.0,replayed,True,0.11979038494256904,0.005289854671108839,0.9916410288011188,4.610223407100687,4.610223407100687,True,supported,
scan-fw-894676bdae3d7b2c,634,15.0,replayed,True,0.10355446722203901,0.001579474828040242,0.9732602414958976,4.400369914843591,4.400369914843591,True,supported,
scan-fw-894676bdae3d7b2c,272,15.0,replayed,False,0.027618968044628333,0.02740285503681818,0.296817457163199,0.0,0.0,True,abstained,
scan-fw-894676bdae3d7b2c,531,15.0,replayed,False,0.011358763180261156,0.023953929112553674,0.07967102774313956,0.0,0.0,True,abstained,
scan-fw-894676bdae3d7b2c,475,15.0,replayed,True,0.12353668308358012,0.0013328863844342515,0.9863442246673959,4.560604490598058,4.560604490598058,True,supported,
scan-fw-894676bdae3d7b2c,489,15.0,replayed,True,0.12844147162143624,0.0010286788768511528,0.994782898937774,4.661699404908931,4.661699404908931,True,supported,
scan-fw-894676bdae3d7b2c,1672,15.0,replayed,True,0.17656864608454234,0.0018587327228805045,0.9938297814684671,4.650680454931917,4.650680454931917,True,supported,
scan-fw-894676bdae3d7b2c,686,15.0,replayed,True,0.14809773368208917,0.0004095999242102682,0.994052659437259,4.635068381127614,4.635068381127614,True,supported,
