session_id,episode_id,norad,channel,edge,points,span_s,azimuth_deg,elevation_deg,training_rms_hz,heldout_rms_hz,position_sensitivity_hz_per_km,truth_displacement_signature_rms_hz
scan-hop-e31b77794a04c236,sha256:420f98ebcf9810d35505ba5c10d1a21d4b35eca9849c8112a1300c36cd4d7a03,66208,1,lower,24,22.543657171000007,32.20457636079512,85.13627190729781,53.21764428088187,37.0080149894672,17.991815967974148,133.32101908219806
scan-hop-e31b77794a04c236,sha256:a6295856448b0e5323f978052f568de5e5eb72aeadaf13b28093c743ba2a31da,66208,1,upper,24,22.667662450000023,31.077575455349116,85.4618056789562,16.820847793817535,118.33995099511979,17.130747976301315,127.37449937050648
scan-hop-e31b77794a04c236,sha256:aeab104c80bf112384db0baf9e7e74d1277928a64204045e9d7eadf7c026a536,66208,2,lower,39,37.53013779599999,251.87671677942114,86.91364276456505,24.851960541266497,45.50511315828487,25.348991432809637,158.6628135655099
scan-hop-e31b77794a04c236,sha256:e6dcf162c0e742c24ca12c7b2086a0135f712044ef562b128a4d42feaf7badc8,64257,2,upper,30,28.711348339000004,247.22037915962528,68.98379606120832,243.62952515418573,986.98353525066,41.00233466650885,142.63699030450894
scan-hop-e31b77794a04c236,sha256:a043600b8b7bcd47e8020fdd14f7b94321387b31063d94a14686710e0f5dfc8a,66208,4,lower,30,29.213472508999985,241.21810351376917,84.65729548335285,86.93856075976726,44.30359906566814,26.65093637587438,164.02632707204393
scan-hop-e31b77794a04c236,sha256:ebae6019c7ed2dd3b9e656b03fb34d81f8f7d02619f13f6950d8c52cee5b5ad6,55631,4,upper,30,28.458434007999983,278.4068273803122,84.87494784350014,101.3166569875363,50.1105274657097,9.65104773000975,53.4770283129699
scan-hop-783c79c5b20d42b3,sha256:b530551f8a81ef2f6ab4a0d35bbed8698f9dc9a585038092f8f74e3e97f3c0bc,67045,1,lower,27,26.178143112999997,113.6975913906879,85.44608998077625,19.597995954608137,41.715287393768776,15.680274002568634,93.70812029107982
scan-hop-783c79c5b20d42b3,sha256:f6eda34db2dba5d778849ec6d443bd126185f547ee0aa6de0ff2adf51c99bbde,58713,1,upper,39,31.013912909999988,286.14385692067,83.14327119352684,161.17601485624908,151.35443755994788,27.06434679574804,150.67370588404162
scan-hop-783c79c5b20d42b3,sha256:9d8cb56aa8ad39b5755d43888509e5ea4ddc186d54519137db59f525a0a8377f,49441,2,lower,25,21.554444950999994,302.01820804918844,49.793823291694785,130.02238468139439,1570.4927450629668,32.87955393621783,126.03748491674789
scan-hop-783c79c5b20d42b3,sha256:2bea06ec4c60d022289f9bcd1c645617ed4d04d4fd3121a947e867761a06dada,49441,2,upper,26,22.313515475999992,305.7515076997221,50.39459649621007,264.5834234304174,2140.1124157916433,32.95251068226317,111.11843856997275
scan-hop-783c79c5b20d42b3,sha256:05f8d0a2f5bdf8e76fb916fe58732d0d3a2853455ca1d51a4e5182668a6ce7d8,67045,3,lower,45,44.313455934,205.3231338105735,84.82817947556603,77.47210239066023,64.69869072686518,30.797758477097982,185.2292377684608
scan-hop-783c79c5b20d42b3,sha256:955d3e6d3e08edd72894c751cb70901a59cbb0bf95b91564cc399e848fe570fb,67045,3,upper,44,43.306802143000006,208.91200011326555,84.41142427646425,78.45471918979143,75.03224551250098,33.416235506157015,201.66060140634426
scan-hop-783c79c5b20d42b3,sha256:bfd402194e837ac1fb4c93ac5ef2936b6cdf26021fd2b4766be3ce0de7e13592,67034,4,lower,32,31.754518649999994,229.8678218073033,85.27935475671907,283.21268584362394,353.4883202880204,24.460742438088058,141.7837317729595
scan-hop-783c79c5b20d42b3,sha256:532536913473a326451c9f0a0bc0f47cde595ca43041a16e0fde31f958646e36,67034,4,upper,33,31.756125741000005,232.6287793375663,84.34992728945886,268.6751327476606,388.4232303655421,24.69147663343696,142.962462737716
scan-hop-dcde2d0e850011de,sha256:44a1c87859e48d4dcd97033066c14d1af253c04dd2bba961fb51e83fa3725f5b,66362,1,lower,32,30.896649209000003,286.079507116367,77.81120029760757,109.72568222567023,144.60837145704062,35.92139991875707,189.02937226063975
scan-hop-dcde2d0e850011de,sha256:4fc72b09117f40ce33f8b3e880b90a9b7d64c725adc3f9f802324eb9f63c1c01,66362,1,upper,24,22.828139662000012,269.7092706681643,74.5612887882682,74.47495726516053,185.21219003192414,39.266852064299826,234.22666758109955
scan-hop-dcde2d0e850011de,sha256:d4f38bc4266b716c0643d8862039c2ea9e23856f94ad708ef5d9614c67de2e56,65803,2,lower,34,30.237202589000006,45.13830540609956,88.33816857979924,55.798712252199934,114.277243393114,18.797014041387076,90.0088592029281
scan-hop-dcde2d0e850011de,sha256:ff6e62bce4628859cfe776c6a92f7e1a8beb2870f67fd5a1bd424c54be474be2,64673,2,upper,28,27.246759021000003,267.5102409078877,87.08957756045656,53.8649366872085,69.96498522547515,15.487790363734687,8.007017186919656
scan-hop-dcde2d0e850011de,sha256:a592ef2edf24677646aa389f0f30f5f2975debe16e03f8243bb00b1e52195607,62966,3,lower,37,36.153972498,266.00611371393757,84.3138153589492,111.72810594089528,127.95347830482228,28.799327033189755,171.27988907448014
scan-hop-dcde2d0e850011de,sha256:98729d036c3b10cf553f2e058742f44c4b2e4e18ca27223bd795f053d27246f4,66362,3,upper,27,24.085488641000012,266.1414660998318,73.4194949676151,97.58639711173812,171.13176712291192,41.144952815743345,246.854842938313
scan-hop-dcde2d0e850011de,sha256:524313aa01f0fb36643eac82c2fdeca0d8f6dde56753978eeed0dbd19272cb3c,68510,4,lower,33,32.112875417000005,57.998004400624154,85.27079766151832,131.03888886417377,100.32560675579985,19.299243698644435,63.21241575056279
