path,branch_id,alias_index,before_v1,after_v2,automatic_correction,geometry_display,observations,duration_s,residual_rms_hz,probes,blocks,coverage,median_block_delta,median_corrected_margin,harmful_blocks,reason
radio_pluto_5d4d · stream-0/RX0,sha256:43c3da3e73ff77a368daf449c6026e44ecb3387a380496d6c2716723ea269c15,-2,rejected,geometry_only,False,True,82,5.375,167.2016141489787,216,6,1.0,-0.49730640722881375,-0.0004068373965297571,5,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:43c3da3e73ff77a368daf449c6026e44ecb3387a380496d6c2716723ea269c15,-1,rejected,geometry_only,False,True,82,5.375,167.2016141489787,216,6,1.0,-0.4910428979769661,0.0006475166261643399,5,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:43c3da3e73ff77a368daf449c6026e44ecb3387a380496d6c2716723ea269c15,0,supported,geometry_only,False,True,82,5.375,167.2016141489787,216,6,1.0,-0.49165394586876515,0.0006845669555773579,5,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:67daf09a2e444564e8dd8914d6faec52e89c095372582f0a10bf96dda30c78e0,-3,rejected,geometry_only,False,True,110,10.675000000000004,444.6516868532518,428,11,1.0,-0.33770848329458236,-5.130487897655328e-06,9,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:67daf09a2e444564e8dd8914d6faec52e89c095372582f0a10bf96dda30c78e0,-2,rejected,geometry_only,False,True,110,10.675000000000004,444.6516868532518,428,11,1.0,-0.3363264104839061,6.889610208116875e-05,9,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:67daf09a2e444564e8dd8914d6faec52e89c095372582f0a10bf96dda30c78e0,-1,rejected,geometry_only,False,True,110,10.675000000000004,444.6516868532518,428,11,1.0,-0.33665548908203113,-0.00018987840789277607,9,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:67daf09a2e444564e8dd8914d6faec52e89c095372582f0a10bf96dda30c78e0,0,supported,geometry_only,False,True,110,10.675000000000004,444.6516868532518,428,11,1.0,-0.3403055567823366,5.3051413060625774e-05,9,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:7f91cdc2e295d66482baef175280ccde62de76dd8b0d417554dca62b7f832548,-2,rejected,geometry_only,False,True,9,2.674999999999997,110.09755924877939,108,4,1.0,0.0003947154711261922,0.00011549073582462106,0,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:7f91cdc2e295d66482baef175280ccde62de76dd8b0d417554dca62b7f832548,-1,rejected,geometry_only,False,True,9,2.674999999999997,110.09755924877939,108,4,1.0,-0.00035050981163324904,0.0006879440834156262,0,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:7f91cdc2e295d66482baef175280ccde62de76dd8b0d417554dca62b7f832548,0,rejected,geometry_only,False,True,9,2.674999999999997,110.09755924877939,108,4,1.0,0.0011155702291502576,-0.00026479457756370395,0,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:7f91cdc2e295d66482baef175280ccde62de76dd8b0d417554dca62b7f832548,1,supported,geometry_only,False,True,9,2.674999999999997,110.09755924877939,108,4,1.0,-0.002931470900519959,-0.0005501459130759483,0,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:b5aad26ebe83c85219e2cf3bb329e889eb6cdeaa9482aedec2d59f77b10c1d01,-2,rejected,geometry_only,False,True,73,4.899999999999999,168.53711277170234,197,5,1.0,-0.4447295318949738,0.00027804399631467525,4,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:b5aad26ebe83c85219e2cf3bb329e889eb6cdeaa9482aedec2d59f77b10c1d01,-1,rejected,geometry_only,False,True,73,4.899999999999999,168.53711277170234,197,5,1.0,-0.4312630610470347,0.000728157155766275,4,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:b5aad26ebe83c85219e2cf3bb329e889eb6cdeaa9482aedec2d59f77b10c1d01,0,supported,geometry_only,False,True,73,4.899999999999999,168.53711277170234,197,5,1.0,-0.4373010090926783,0.0009428696095283504,5,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:c4f2337a314ed91bfe8505d49761d5c00f8047eb81272bdeac2cf643b4507f2b,-3,rejected,geometry_only,False,True,37,5.450000000000003,619.2049862975967,219,6,1.0,-0.002577836143444893,0.000384999533248942,1,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:c4f2337a314ed91bfe8505d49761d5c00f8047eb81272bdeac2cf643b4507f2b,-2,rejected,geometry_only,False,True,37,5.450000000000003,619.2049862975967,219,6,1.0,-0.004532744778682615,-0.00034262937451371746,1,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:c4f2337a314ed91bfe8505d49761d5c00f8047eb81272bdeac2cf643b4507f2b,-1,rejected,geometry_only,False,True,37,5.450000000000003,619.2049862975967,219,6,1.0,-0.002960020776620326,-0.00047675395199297393,1,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_5d4d · stream-0/RX0,sha256:c4f2337a314ed91bfe8505d49761d5c00f8047eb81272bdeac2cf643b4507f2b,0,rejected,geometry_only,False,True,37,5.450000000000003,619.2049862975967,219,6,1.0,-0.003647840535903231,-0.00041383079696038355,1,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX1,sha256:1caa8869da193ae68a140e6ead6f7b86060505b14285517248c9542cb8f7740c,-1,rejected,geometry_only,False,True,94,6.924999999999997,509.80328700822696,278,8,1.0,-0.5260633461541895,0.0004134093292166158,8,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX1,sha256:1caa8869da193ae68a140e6ead6f7b86060505b14285517248c9542cb8f7740c,0,supported,geometry_only,False,True,94,6.924999999999997,509.80328700822696,278,8,1.0,-0.5295584197698914,-0.00029939228987732776,8,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX1,sha256:1caa8869da193ae68a140e6ead6f7b86060505b14285517248c9542cb8f7740c,1,rejected,geometry_only,False,True,94,6.924999999999997,509.80328700822696,278,8,1.0,-0.5271506837827119,0.0008661294859612489,8,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX1,sha256:991abcf80606cbceeecfe943c64ca2af02c56c8e8835e6ebfc9e31db0e4f594f,-1,rejected,geometry_only,False,True,93,7.125,550.1104120631844,286,8,1.0,-0.5184041016680753,-0.00039583598914698197,8,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX1,sha256:991abcf80606cbceeecfe943c64ca2af02c56c8e8835e6ebfc9e31db0e4f594f,0,supported,geometry_only,False,True,93,7.125,550.1104120631844,286,8,1.0,-0.5227509149945336,-0.00011814031408350321,8,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX1,sha256:991abcf80606cbceeecfe943c64ca2af02c56c8e8835e6ebfc9e31db0e4f594f,1,rejected,geometry_only,False,True,93,7.125,550.1104120631844,286,8,1.0,-0.5202436860439326,0.0006431689272011383,8,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX1,sha256:991abcf80606cbceeecfe943c64ca2af02c56c8e8835e6ebfc9e31db0e4f594f,2,rejected,geometry_only,False,True,93,7.125,550.1104120631844,286,8,1.0,-0.5191418492181188,0.00013234628086750133,8,"credible geometry retained, but corrected GLRT64/control separation was weak"
radio_pluto_19f2 · stream-1/RX1,sha256:c30de023fed9ef9bb22f6b0245c8f75d9e0bbbc6df576281e00a9be44f688fc5,0,rejected,geometry_only,False,True,10,1.6500000000000057,370.43623901498376,67,2,1.0,-0.0019229417559974912,0.0008075486353709312,0,"credible geometry retained, but replay coverage was insufficient"
radio_pluto_19f2 · stream-1/RX1,sha256:c30de023fed9ef9bb22f6b0245c8f75d9e0bbbc6df576281e00a9be44f688fc5,1,rejected,geometry_only,False,True,10,1.6500000000000057,370.43623901498376,67,2,1.0,-0.002213534470382793,0.00016274704554027422,0,"credible geometry retained, but replay coverage was insufficient"
