profile,probes,target_recovered,common_probes,global_winner_agrees_with_target,original_cfo_available,fitted_tracks,median_self_block_rms_hz,median_runtime_ms,attempted,recovered,common_comparisons,alias_branch_changes,large_nonalias_errors,pooled_available_increment_rms_hz,pooled_common_increment_rms_hz,pooled_raw_increment_rms_hz,p95_abs_increment_error_hz,global_comparisons,global_increment_rms_hz,global_raw_increment_rms_hz,global_alias_branch_changes
fine500_conditioned100_fft512,237,237,237,222,237,6,40.23485438594575,311.4134940551594,96,96,96,0,0,36.59400770650258,36.59400770650258,36.59400770650258,52.40282733213212,96,36.6611502387645,36.6611502387645,0
fine500_conditioned100_fft8192,237,237,237,223,27,6,53.43426072574276,317.0321830548346,96,96,96,0,0,10.847473837877407,10.847473837877407,10.847473837877407,21.50241249684484,96,10.62507733561115,10.62507733561115,0
fine500_conditioned50_fft512,237,237,237,222,180,6,42.23447063427372,293.45537500921637,96,96,96,0,0,37.40737758358012,37.40737758358012,37.40737758358012,43.35728385815452,96,37.911070524551334,37.911070524551334,0
fine500_conditioned50_fft8192,237,237,237,223,24,6,54.60726744193643,298.99430758086964,96,96,96,0,0,10.574923119417786,10.574923119417786,10.574923119417786,21.74710235646569,96,10.311939952486915,10.311939952486915,0
fine250_conditioned100_fft512,237,237,237,222,3,6,38.33814615833388,294.7328399750404,96,96,96,0,0,28.421478159842795,28.4214781598428,28.421478159842795,15.235603197282217,96,28.4269826810178,28.4269826810178,0
fine250_conditioned100_fft8192,237,237,237,223,1,6,54.39481384964175,300.41968304431066,96,96,96,0,0,8.417028108753147,8.417028108753147,8.417028108753147,24.61701500563356,96,9.590390964315286,9.590390964315286,0
fine250_conditioned50_fft512,237,237,237,222,1,6,38.17041821268097,298.52087795734406,96,96,96,0,0,28.545002323051158,28.54500232305116,28.545002323051158,17.75813073953759,96,28.55048302882914,28.55048302882914,0
fine250_conditioned50_fft8192,237,237,237,223,0,6,54.35418666815089,303.5820230143145,96,96,96,0,0,8.376640103438932,8.376640103438932,8.376640103438932,24.61701500563356,96,9.554963950084852,9.554963950084852,0
